row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Currency: VNDBeginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Other short-term receivables (Note 7.1),Other short-term receivables (Note 7.1),Other short-term receivables (Note 7.1),Other short-term receivables (Note 7.1),Other short-term receivables (Note 7.1),Other short-term receivables (Note 7.1),Other short-term receivables (Note 7.1),,,,
H2 Construction Company Limited,H2 Construction Company Limited,H2 Construction Company Limited,Subsidiary,Capital financing,"77,824,053,487","52,401,657,868",,,,
Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Subsidiary,Capital financing,"54,704,056,411","38,252,044,087",,,,
Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Subsidiary,Depreciation receivables,"39,130,979,451",-,,,,
Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Subsidiary,Loan receivables,"30,518,052,334",-,,,,
Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","28,530,366,526","43,239,167,220",,,,
Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","27,060,912,401","53,033,694,053",,,,
Dacovet Pharmaceutical and Animal Health Company Limited,Dacovet Pharmaceutical and Animal Health Company Limited,Dacovet Pharmaceutical and Animal Health Company Limited,Subsidiary,Capital financing,"25,098,590,417",-,,,,
Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","23,007,971,050","34,055,367,998",,,,
Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","12,007,999,627","47,956,939,662",,,,
Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","12,913,580,195","30,100,836,813",,,,
Investment and development Breed Processing Company,Investment and development Breed Processing Company,Investment and development Breed Processing Company,Subsidiary,"Depreciation receivables, Interest expenses","6,843,970,382","34,093,970,382",,,,
Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Subsidiary,"Depreciation receivables, Interest expenses",-,"29,070,249,530",,,,
Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","2,543,015,192","8,340,751,866",,,,
Other subsidiaries,Other subsidiaries,Other subsidiaries,,Capital financing,"30,258,879,071","17,085,836,178",,,,
Other receivables from management members,Other receivables from management members,Other receivables from management members,,,"1,000,000,000","1,000,000,000",,,,
,,,,,"371,442,426,544","388,630,515,657",,,,
Long-term loan receivables (Code 215),Long-term loan receivables (Code 215),Long-term loan receivables (Code 215),Long-term loan receivables (Code 215),Long-term loan receivables (Code 215),Long-term loan receivables (Code 215),Long-term loan receivables (Code 215),,,,
Dabaco Oil Company Limited,Dabaco Oil Company Limited,Dabaco Oil Company Limited,Subsidiary,Long-term loan receivables (*),"706,000,000,000",-,,,,
,,,,,"706,000,000,000",-,,,,
