row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Beginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Beginning balance
Short-term trade payables (Note 17),Short-term trade payables (Note 17),Short-term trade payables (Note 17),Short-term trade payables (Note 17),Short-term trade payables (Note 17),Short-term trade payables (Note 17),Short-term trade payables (Note 17),,,,
Transeco Joint Stock Company,Transeco Joint Stock Company,Transeco Joint Stock Company,Associate,Providing transportation services,"8,034,958,807","9,428,151,504",,,,
,,,,,"8,034,958,807","9,428,151,504",,,,
Short-term advances from customers (Note 18),Short-term advances from customers (Note 18),Short-term advances from customers (Note 18),Short-term advances from customers (Note 18),Short-term advances from customers (Note 18),Short-term advances from customers (Note 18),Short-term advances from customers (Note 18),,,,
Dabaco Oil Company Limited,Dabaco Oil Company Limited,Dabaco Oil Company Limited,Subsidiary,Prepayment for goods,"175,961,704,443",-,,,,
Nutreco Company Limited,Nutreco Company Limited,Nutreco Company Limited,Subsidiary,Prepayment for goods,"147,414,963,557","106,724,127,118",,,,
"Dabaco Thanh Hoa Co., Ltd","Dabaco Thanh Hoa Co., Ltd","Dabaco Thanh Hoa Co., Ltd",Subsidiary,Prepayment for goods,"83,677,450,877",-,,,,
Dabaco Quang Ninh Joint Stock Company,Dabaco Quang Ninh Joint Stock Company,Dabaco Quang Ninh Joint Stock Company,Subsidiary,Prepayment for goods,"56,523,000,000",-,,,,
Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Subsidiary,Prepayment for goods,"35,978,052,610",-,,,,
Le Indochina Hotel and Tourism Company Limited,Le Indochina Hotel and Tourism Company Limited,Le Indochina Hotel and Tourism Company Limited,Subsidiary,Prepayment for goods,"28,511,598,194","9,346,746,061",,,,
Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Subsidiary,Prepayment for others,"11,766,754,358","14,586,527,654",,,,
,,,,,"539,833,524,039","130,657,400,833",,,,
