row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Gross revenue,Gross revenue,Gross revenue,"10,252,090,987,670","9,877,106,442,187",,
In which:,In which:,In which:,In which:,In which:,,
Sale of finished goods,Sale of finished goods,Sale of finished goods,"5,673,180,916,323","4,965,566,569,170",,
Sale of merchandise,Sale of merchandise,Sale of merchandise,"4,336,853,675,015","4,158,357,969,713",,
Sale of real estates and construction services,Sale of real estates and construction services,Sale of real estates and construction services,"242,056,396,332","753,181,903,304",,
Deductions,Deductions,Deductions,"(82,839,212,167)","(58,328,685,425)",,
Trade discounts,Trade discounts,Trade discounts,"(80,800,069,203)","(57,000,833,925)",,
Sales return,Sales return,Sales return,"(2,039,142,964)","(1,327,851,500)",,
Net revenue,Net revenue,Net revenue,"10,169,251,775,503","9,818,777,756,762",,
In which:,In which:,In which:,In which:,In which:,,
Sale of finished goods,Sale of finished goods,Sale of finished goods,"5,590,341,704,156","4,907,237,883,745",,
Sale of merchandise,Sale of merchandise,Sale of merchandise,"4,336,853,675,015","4,158,357,969,713",,
Sale of real estates and construction services,Sale of real estates and construction services,Sale of real estates and construction services,"242,056,396,332","753,181,903,304",,
In which:,In which:,In which:,In which:,In which:,,
Sales to others,Sales to others,Sales to others,"2,675,183,218,941","2,867,255,753,924",,
Sales to related parties (Note 32),Sales to related parties (Note 32),Sales to related parties (Note 32),"7,494,068,556,562","6,951,522,002,838",,
