row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước: > 2.420.018.590.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 1.794.546.743.801 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 277.628.036.452 > 315.551.188.338,Đơn vị tính: VND Tổng cộng > Năm trước: > 4.910.527.362.474 > 315.551.188.338,numeric__Vốn cổ phần đã phát hành > Năm trước: > 2.420.018.590.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 1.794.546.743.801 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 277.628.036.452 > 315.551.188.338,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 4.910.527.362.474 > 315.551.188.338
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,5.194.587.097,(5.194.587.097),-,,,5194587097.0,-5194587097.0,
Số cuối năm,Số cuối năm,Số cuối năm,2.420.018.590.000,418.333.992.221,1.799.741.330.898,587.984.637.693,5.226.078.550.812,2420018590000.0,418333992221.0,1799741330898.0,587984637693.0,5226078550812.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,2.420.018.590.000,418.333.992.221,1.799.741.330.898,587.984.637.693,5.226.078.550.812,2420018590000.0,418333992221.0,1799741330898.0,587984637693.0,5226078550812.0
- Tăng vốn (*),Năm nay: > - Tăng vốn (*),- Tăng vốn (*),806.672.860.000,403.336.430.000,-,-,1.210.009.290.000,806672860000.0,403336430000.0,,,1210009290000.0
- Lợi nhuận thuần trong năm,Năm nay: > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,319.096.888.908,319.096.888.908,,,,319096888908.0,319096888908.0
- Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),Năm nay: > - Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),- Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),120.000.000.000,-,-,-,120.000.000.000,120000000000.0,,,,120000000000.0
- Trích lập quỹ đầu tư phát triển (**),Năm nay: > - Trích lập quỹ đầu tư phát triển (**),- Trích lập quỹ đầu tư phát triển (**),-,-,25.007.193.924,(25.007.193.924),-,,,25007193924.0,-25007193924.0,
- Giảm khác,Năm nay: > - Giảm khác,- Giảm khác,-,(248.200.000),-,-,(248.200.000),,-248200000.0,,,-248200000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.346.691.450.000,821.422.222.221,1.824.748.524.822,882.074.332.677,6.874.936.529.720,3346691450000.0,821422222221.0,1824748524822.0,882074332677.0,6874936529720.0
