row_label_raw,row_label_full,Related parties,Relationship,Sales,Purchase of goods and services,Asset usage costs,Allocation of interest expenses,Profit distribution,numeric__Relationship,numeric__Sales,numeric__Purchase of goods and services,numeric__Asset usage costs,numeric__Allocation of interest expenses,numeric__Profit distribution
Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Subsidiary,"179,231,886,657",-,"34,564,145,928","221,955,508",-,,,,,,
Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Subsidiary,"333,876,524,412",-,"403,749,996",-,-,,,,,,
Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Subsidiary,"66,560,068,800",-,"312,800,004",-,-,,,,,,
Investment and development Breed Processing Company,Investment and development Breed Processing Company,Investment and development Breed Processing Company,Subsidiary,"257,582,452,700",-,"12,450,674,923",-,-,,,,,,
Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Subsidiary,"1,014,573,997,270",-,-,-,-,,,,,,
Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Subsidiary,"30,759,140,000","157,374,762,296","12,858,253,368","4,685,311,593",-,,,,,,
Nutreco Company Limited,Nutreco Company Limited,Nutreco Company Limited,Subsidiary,"1,469,670,089,656",-,"16,025,539,246","3,636,828,767","98,160,938,155",,,,,,
Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Subsidiary,"210,898,496,590",-,"277,440,000",-,-,,,,,,
Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Subsidiary,-,"61,990,915,255",-,"490,429,286","12,277,016,182",,,,,,
Dabaco Substructure Development and Building Investment Company Limited,Dabaco Substructure Development and Building Investment Company Limited,Dabaco Substructure Development and Building Investment Company Limited,Subsidiary,-,"49,325,087,708","1,474,887,030","114,030,007","8,836,737,574",,,,,,
Transeco Joint Stock Company,Transeco Joint Stock Company,Transeco Joint Stock Company,Associate,-,"37,426,578,904","451,876,894",-,"2,000,000,000",,,,,,
Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Subsidiary,"107,867,301,890",-,"5,563,610,904",-,-,,,,,,
L'Indochina Tourist & Hospitality Company Limited,L'Indochina Tourist & Hospitality Company Limited,L'Indochina Tourist & Hospitality Company Limited,Subsidiary,-,-,"4,589,160,036",-,-,,,,,,
Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Subsidiary,"687,930,735,661",-,"4,847,293,581","74,096,141","10,983,832,845",,,,,,
Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Subsidiary,"197,388,580,040",-,"25,442,140,591","2,181,946,696",-,,,,,,
Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Subsidiary,"102,763,276,240",-,"424,284,852",-,-,,,,,,
Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Subsidiary,"170,502,003,600",-,"209,865,140","3,078,309,239",-,,,,,,
Dabaco Oil Company Limited,Dabaco Oil Company Limited,Dabaco Oil Company Limited,Subsidiary,"1,841,263,986,535","1,540,851,892,885","9,778,541,292","5,402,211,655","55,879,898,621",,,,,,
Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Subsidiary,"2,890,087,200",-,"6,793,085,392","7,258,365,806",-,,,,,,
Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Subsidiary,"17,140,375,970",-,-,"5,018,555,295","2,574,846,573",,,,,,
Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Subsidiary,-,-,-,-,"5,735,076,969",,,,,,
Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Subsidiary,-,-,"5,453,997,678",-,-,,,,,,
Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Subsidiary,"260,622,999,617",-,"18,651,633,873","8,364,334,028",-,,,,,,
TOTAL,TOTAL,TOTAL,,"6,951,522,002,838","1,846,969,237,048","160,572,980,728","40,526,374,021","196,448,346,919",,,,,,
