row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Currency: VNDBeginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Short-term trade receivables (Note 6.1),Short-term trade receivables (Note 6.1),Short-term trade receivables (Note 6.1),Short-term trade receivables (Note 6.1),Short-term trade receivables (Note 6.1),Short-term trade receivables (Note 6.1),Short-term trade receivables (Note 6.1),,,,
Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Subsidiary,Selling goods,"481,432,331,346","692,643,672,096",,,,
Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Subsidiary,Selling goods,"351,210,389,970","288,571,999,036",,,,
Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Subsidiary,Selling goods,"311,141,689,003","252,427,369,012",,,,
Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Subsidiary,Selling goods,"308,794,147,321","258,651,935,787",,,,
Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Subsidiary,Selling goods,"241,728,692,240","238,316,475,837",,,,
Investment and development Breed Processing Company,Investment and development Breed Processing Company,Investment and development Breed Processing Company,Subsidiary,Selling goods,"205,419,189,578","158,249,123,105",,,,
Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Subsidiary,Selling goods,"149,466,886,106","320,388,275,197",,,,
Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Subsidiary,Selling goods,"170,970,875,473","188,128,330,477",,,,
Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Subsidiary,Selling goods,"100,477,490,159","129,680,777,207",,,,
Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Subsidiary,Selling goods,"94,388,343,165","64,436,459,069",,,,
Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Subsidiary,Selling goods,"77,526,275,153","87,924,456,041",,,,
Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Subsidiary,Selling goods,"38,469,533,596","82,958,282,572",,,,
Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Subsidiary,Selling goods,"158,390,000","58,247,652,471",,,,
Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Subsidiary,Selling goods,-,"357,261,825,288",,,,
Dabaco Oil Company Limited,Dabaco Oil Company Limited,Dabaco Oil Company Limited,Subsidiary,Selling goods,-,"110,737,169,130",,,,
Dabaco Quang Ninh Joint Stock Company,Dabaco Quang Ninh Joint Stock Company,Dabaco Quang Ninh Joint Stock Company,Subsidiary,Selling goods,-,"29,110,000,000",,,,
Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Subsidiary,Selling goods,-,"18,420,447,794",,,,
Dabaco Hoa Binh Company Limited,Dabaco Hoa Binh Company Limited,Dabaco Hoa Binh Company Limited,Subsidiary,Selling goods,-,"16,696,251,000",,,,
