row_label_raw,row_label_full,col_0,Current year,Currency: VNDPrevious year,numeric__Current year,numeric__Currency: VNDPrevious year
Current tax expenses,Current tax expenses,Current tax expenses,"69,634,333,970","58,750,036,406",,
Deferred tax income,Deferred tax income,Deferred tax income,"(12,120,010,380)",-,,
TOTAL,TOTAL,TOTAL,"57,514,323,590","58,750,036,406",,
