row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và hoạt động thương mại khác,Điều chỉnh và loại trừ,Đơn vị tính: VND,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và hoạt động thương mại khác,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,9.927.195.379.171,242.056.396.332,-,Tổng cộng,9927195379171.0,242056396332.0,,
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận kế toán,Kết quả > Lợi nhuận kế toán,Lợi nhuận kế toán,253.647.200.266,23.874.801.833,-,277.522.002.099,253647200266.0,23874801833.0,,277522002099.0
Lợi nhuận không phân bổ (*),Kết quả > Lợi nhuận không phân bổ (*),Lợi nhuận không phân bổ (*),,,,99.089.210.399,,,,99089210399.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,376.611.212.498,,,,376611212498.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,(64.859.373.603),(4.774.960.367),-,(69.634.333.970),-64859373603.0,-4774960367.0,,-69634333970.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,12.120.010.380,-,-,12.120.010.380,12120010380.0,,,12120010380.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,319.096.888.908,,,,319096888908.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Chi phí hình thành tài sản cố định,Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,91.317.889.538,-,-,91.317.889.538,91317889538.0,,,91317889538.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,61.991.939.553,-,-,61.991.939.553,61991939553.0,,,61991939553.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,6.951.107.258.120,1.517.145.420.520,3.103.645.060.945,11.571.897.739.585,6951107258120.0,1517145420520.0,3103645060945.0,11571897739585.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,6.951.107.258.120,1.517.145.420.520,-,8.468.252.678.640,6951107258120.0,1517145420520.0,,8468252678640.0
Tài sản không phân bổ (**),Tài sản và nợ phải trả > Tài sản không phân bổ (**),Tài sản không phân bổ (**),-,-,3.103.645.060.945,3.103.645.060.945,,,3103645060945.0,3103645060945.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,4.419.493.557.098,277.467.652.767,-,4.696.961.209.865,4419493557098.0,277467652767.0,,4696961209865.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.419.493.557.098,277.467.652.767,-,4.696.961.209.865,4419493557098.0,277467652767.0,,4696961209865.0
