row_label_raw,row_label_full,Related parties,Relationship,Sales,Purchase of materials and services,Allocation of asset usage costs,Allocation of interest expenses,Interest expenses,Capital contribution,Profit distribution,numeric__Relationship,numeric__Sales,numeric__Purchase of materials and services,numeric__Allocation of asset usage costs,numeric__Allocation of interest expenses,numeric__Interest expenses,numeric__Capital contribution,numeric__Profit distribution
Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Subsidiary,"116,510,573,750",-,"31,234,272,928","11,624,995",-,-,-,,,,,,,,
Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Subsidiary,"262,845,408,828",-,"403,749,996",-,-,-,-,,,,,,,,
Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Subsidiary,"115,825,240,900",-,"312,800,004",-,-,-,-,,,,,,,,
Investment and development Breed Processing Company Limited,Investment and development Breed Processing Company Limited,Investment and development Breed Processing Company Limited,Subsidiary,"233,682,188,100",-,"14,461,505,611",-,-,-,-,,,,,,,,
Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Subsidiary,"986,556,375,400",-,-,-,-,-,-,,,,,,,,
Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Subsidiary,"1,096,215,000","7,965,526,321","12,858,253,368","2,885,819,858",-,-,-,,,,,,,,
Nutreco Company Limited,Nutreco Company Limited,Nutreco Company Limited,Subsidiary,"1,237,048,638,720",-,"8,679,642,378",-,-,-,"54,142,435,020",,,,,,,,
Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Subsidiary,"132,339,745,000",-,"277,440,000",-,-,-,-,,,,,,,,
Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Subsidiary,-,"70,524,172,208",-,-,-,-,"5,133,012,874",,,,,,,,
Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Subsidiary,-,"19,524,416,168","1,354,383,108","9,706,686",-,-,"4,227,231,734",,,,,,,,
Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Subsidiary,"126,640,648,900",-,"5,563,610,904",-,-,-,-,,,,,,,,
L'Indochina Tourist and Hospitality Company Limited,L'Indochina Tourist and Hospitality Company Limited,L'Indochina Tourist and Hospitality Company Limited,Subsidiary,-,-,"4,589,160,024",-,"17,756,495,934","26,907,454,091",-,,,,,,,,
Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Subsidiary,"915,368,472,753",-,"5,018,819,694",-,-,-,"11,010,029,202",,,,,,,,
Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Subsidiary,"271,764,055,300",-,"38,903,891,457","4,807,603,731",-,-,-,,,,,,,,
Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Subsidiary,"119,080,182,950",-,"424,284,852",-,-,-,-,,,,,,,,
Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Subsidiary,"243,192,034,600",-,"1,259,266,413","533,871,243",-,-,"3,731,954,304",,,,,,,,
Dabaco Oil Company Limited,Dabaco Oil Company Limited,Dabaco Oil Company Limited,Subsidiary,"2,103,783,377,890","1,308,800,663,539","9,778,987,958","887,490,986",-,-,-,,,,,,,,
Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Subsidiary,"3,701,543,040",-,"6,697,842,266","2,947,938,591",-,-,-,,,,,,,,
Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Subsidiary,-,-,"3,554,881,743",-,-,"35,044,615,898","1,085,837,969",,,,,,,,
Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Subsidiary,-,-,-,-,-,-,"747,215,296",,,,,,,,
Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Subsidiary,"605,059,620,000",-,"78,272,225,883","32,031,150,607",-,-,-,,,,,,,,
