row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giả gốc) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giả gốc) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giả gốc) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giả gốc) > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi có kỳ hạn (*),Ngắn hạn > Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),1.288.379.035.147,446.726.811.483,1288379035147.0,446726811483.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.288.379.035.147,446.726.811.483,1288379035147.0,446726811483.0
Dải hạn,Dải hạn,Dải hạn,,,,
Trái phiếu (**),Dải hạn > Trái phiếu (**),Trái phiếu (**),10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
