row_label_raw,row_label_full,Name,col_1,Ending balance > Value(VND),Ending balance > Provision (VND),Ending balance > Ownership,Ending balance > Voting right,Beginning balance > Value(VND),Beginning balance > Provision (VND),Beginning balance > Ownership,Beginning balance > Voting right,numeric__col_1,numeric__Ending balance > Value(VND),numeric__Ending balance > Provision (VND),numeric__Ending balance > Ownership,numeric__Ending balance > Voting right,numeric__Beginning balance > Value(VND),numeric__Beginning balance > Provision (VND),numeric__Beginning balance > Ownership,numeric__Beginning balance > Voting right
Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,(i),"114,000,000,000","(27,919,987,480)","49,56%","49,56%","114,000,000,000","(21,943,732,474)","49,56%","49,56%",,,,0.49560000000000004,0.49560000000000004,,,0.49560000000000004,0.49560000000000004
Transeco Joint Stock Company,Transeco Joint Stock Company,Transeco Joint Stock Company,(ii),"20,000,000,000",-,"33,33%","33,33%","20,000,000,000",-,"33,33%","33,33%",,,,0.3333,0.3333,,,0.3333,0.3333
TOTAL,TOTAL,TOTAL,,"134,000,000,000","(27,919,987,480)",,,"134,000,000,000","(21,943,732,474)",,,,,,,,,,,
