row_label_raw,row_label_full,STT,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Tỷ lệ vốn góp thực tế,Số cuối năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Tỷ lệ vốn góp thực tế,Số đầu năm > Tỷ lệ biểu quyết,numeric__Tên đơn vị,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Tỷ lệ vốn góp thực tế,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Tỷ lệ vốn góp thực tế,numeric__Số đầu năm > Tỷ lệ biểu quyết
1,1,1,Công ty TNHH Đầu thực vật Dabaco,280.015.514.371,-,100%,100%,280.015.514.371,-,100%,100%,,280015514371.0,,1.0,1.0,280015514371.0,,1.0,1.0
2,2,2,Công ty TNHH Du lịch & Khách sạn Le Indochina,210.000.000.000,(52.126.088.266),100%,100%,183.092.545.909,(39.446.685.284),100%,100%,,210000000000.0,-52126088266.0,1.0,1.0,183092545909.0,-39446685284.0,1.0,1.0
3,3,3,Công ty TNHH Xây dựng Đường H2,130.000.000.000,-,100%,100%,130.000.000.000,-,100%,100%,,130000000000.0,,1.0,1.0,130000000000.0,,1.0,1.0
4,4,4,Công ty TNHH Lợn giống hạt nhân Dabaco,121.312.447.573,-,100%,100%,121.312.447.573,(19.090.113.376),100%,100%,,121312447573.0,,1.0,1.0,121312447573.0,-19090113376.0,1.0,1.0
5,5,5,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,118.000.000.000,(27.625.499.749),100%,100%,118.000.000.000,(20.871.310.067),100%,100%,,118000000000.0,-27625499749.0,1.0,1.0,118000000000.0,-20871310067.0,1.0,1.0
6,6,6,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,100.000.000.000,-,100%,100%,100.000.000.000,-,100%,100%,,100000000000.0,,1.0,1.0,100000000000.0,,1.0,1.0
7,7,7,Công ty TNHH Dabaco Thanh Hóa,100.000.000.000,-,100%,100%,100.000.000.000,-,100%,100%,,100000000000.0,,1.0,1.0,100000000000.0,,1.0,1.0
8,8,8,Công ty Cổ phần Dabaco Quảng Ninh,99.000.000.000,-,99%,99%,-,-,-,-,,99000000000.0,,0.99,0.99,,,,
9,9,9,Công ty TNHH MTV Thương mại Hiệp Quang,71.283.160.000,-,100%,100%,71.283.160.000,-,100%,100%,,71283160000.0,,1.0,1.0,71283160000.0,,1.0,1.0
10,10,10,Công ty TNHH Dabaco Bình Phước,51.498.269.770,(51.498.269.770),100%,100%,51.498.269.770,(51.498.269.770),100%,100%,,51498269770.0,-51498269770.0,1.0,1.0,51498269770.0,-51498269770.0,1.0,1.0
11,11,11,Công ty TNHH Nutreco,50.190.568.966,-,100%,100%,50.190.568.966,-,100%,100%,,50190568966.0,,1.0,1.0,50190568966.0,,1.0,1.0
12,12,12,Công ty TNHH Lợn giống Dabaco Lương Tài,50.000.000.000,(50.000.000.000),100%,100%,50.000.000.000,(50.000.000.000),100%,100%,,50000000000.0,-50000000000.0,1.0,1.0,50000000000.0,-50000000000.0,1.0,1.0
13,13,13,Công ty TNHH Lợn giống Dabaco Phú Thọ,50.000.000.000,(47.158.628.253),100%,100%,50.000.000.000,(50.000.000.000),100%,100%,,50000000000.0,-47158628253.0,1.0,1.0,50000000000.0,-50000000000.0,1.0,1.0
14,14,14,Công ty TNHH Dabaco Tuyên Quang,50.000.000.000,(48.804.989.601),100%,100%,50.000.000.000,(43.845.598.670),100%,100%,,50000000000.0,-48804989601.0,1.0,1.0,50000000000.0,-43845598670.0,1.0,1.0
15,15,15,Công ty TNHH Dược và Thủ y Dacovet,50.000.000.000,-,100%,100%,-,-,-,-,,50000000000.0,,1.0,1.0,,,,
16,16,16,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,45.678.384.595,(45.678.384.595),100%,100%,45.678.384.595,(45.678.384.595),100%,100%,,45678384595.0,-45678384595.0,1.0,1.0,45678384595.0,-45678384595.0,1.0,1.0
17,17,17,Công ty TNHH Lợn giống Dabaco Hà Nam,40.000.000.000,(40.000.000.000),100%,100%,40.000.000.000,(40.000.000.000),100%,100%,,40000000000.0,-40000000000.0,1.0,1.0,40000000000.0,-40000000000.0,1.0,1.0
18,18,18,Công ty TNHH Phân bón hữu cơ Việt Nhật,35.044.615.898,-,100%,100%,-,-,-,-,,35044615898.0,,1.0,1.0,,,,
19,19,19,Công ty TNHH Lợn giống Dabaco Hải Phòng,35.000.000.000,(35.000.000.000),100%,100%,35.000.000.000,(35.000.000.000),100%,100%,,35000000000.0,-35000000000.0,1.0,1.0,35000000000.0,-35000000000.0,1.0,1.0
20,20,20,Công ty TNHH MTV Lợn giống Lạc Vệ,30.551.441.897,-,100%,100%,30.551.441.897,(30.551.441.897),100%,100%,,30551441897.0,,1.0,1.0,30551441897.0,-30551441897.0,1.0,1.0
21,21,21,Công ty TNHH Đầu tư Phát triển Chăn nuôi Lợn Dabaco,30.000.000.000,(30.000.000.000),100%,100%,30.000.000.000,(30.000.000.000),100%,100%,,30000000000.0,-30000000000.0,1.0,1.0,30000000000.0,-30000000000.0,1.0,1.0
22,22,22,Công ty TNHH Càng & Logistics Tân Chi,30.000.000.000,-,100%,100%,30.000.000.000,-,100%,100%,,30000000000.0,,1.0,1.0,30000000000.0,,1.0,1.0
23,23,23,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,30.000.000.000,(7.553.759.286),100%,100%,30.000.000.000,(2.451.564.867),100%,100%,,30000000000.0,-7553759286.0,1.0,1.0,30000000000.0,-2451564867.0,1.0,1.0
24,24,24,Công ty TNHH MTV Gà giống Dabaco,10.000.000.000,(10.000.000.000),100%,100%,10.000.000.000,(10.000.000.000),100%,100%,,10000000000.0,-10000000000.0,1.0,1.0,10000000000.0,-10000000000.0,1.0,1.0
,,,TỔNG CỘNG,1.817.574.403.070,(445.445.619.520),,,1.606.622.333.081,(468.433.368.526),,,,1817574403070.0,-445445619520.0,,,1606622333081.0,-468433368526.0,,
