row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
- Kết chuyển từ xây dựng cơ bản dở dang,Số đầu năm > - Kết chuyển từ xây dựng cơ bản dở dang,- Kết chuyển từ xây dựng cơ bản dở dang,100.964.068.418,8.037.739.582,109.001.808.000,100964068418.0,8037739582.0,109001808000.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,100.964.068.418,8.037.739.582,109.001.808.000,100964068418.0,8037739582.0,109001808000.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
- Khấu hao trong năm,- Khấu hao trong năm,- Khấu hao trong năm,-,-,-,,,
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,100.964.068.418,8.037.739.582,109.001.808.000,100964068418.0,8037739582.0,109001808000.0
