row_label_raw,row_label_full,col_0,Balance (Also payable amount),Balance (Also payable amount)_1,numeric__Balance (Also payable amount),numeric__Balance (Also payable amount)_1
,,,Ending balance,Beginning balance,,
Trade payables to foreign suppliers,Trade payables to foreign suppliers,Trade payables to foreign suppliers,"1,311,396,039",-,,
Trade payables to domestic suppliers,Trade payables to domestic suppliers,Trade payables to domestic suppliers,"257,190,096,657","403,682,735,829",,
- Asia Goldman Investment Joint Stock Company,- Asia Goldman Investment Joint Stock Company,- Asia Goldman Investment Joint Stock Company,"35,414,750,250","60,930,964,020",,
- CCI Vietnam Construction Consulting Joint Stock Company,- CCI Vietnam Construction Consulting Joint Stock Company,- CCI Vietnam Construction Consulting Joint Stock Company,"27,546,563,000","27,528,919,000",,
- Licogi 12 Joint Stock Company,- Licogi 12 Joint Stock Company,- Licogi 12 Joint Stock Company,"20,092,711,510","38,307,421,680",,
- Hai Hung Trading and Development Investment Company Limited,- Hai Hung Trading and Development Investment Company Limited,- Hai Hung Trading and Development Investment Company Limited,"16,049,470,160","6,493,490,760",,
- Others,- Others,- Others,"158,086,601,737","270,421,940,369",,
Trade payables to related parties (Note 32),Trade payables to related parties (Note 32),Trade payables to related parties (Note 32),"8,034,958,807","9,428,151,504",,
TOTAL,TOTAL,TOTAL,"266,536,451,503","413,110,887,333",,
