row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Chức vụ,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập,Thu nhập,,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Nguyễn Như So,Tên > Ông Nguyễn Như So,Ông Nguyễn Như So,Chủ tịch HĐQT,2.729.701.000,1.933.309.000,,2729701000.0,1933309000.0
Ông Nguyễn Khắc Thảo,Tên > Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Phó Chủ tịch HĐQT kiểm Tổng Giám đốc,1.784.700.000,1.330.309.000,,1784700000.0,1330309000.0
Bà Nguyễn Thị Thu Hương,Tên > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Phó Tổng Giám đốc kiểm thành viên HĐQT,1.329.700.000,848.309.000,,1329700000.0,848309000.0
Ông Nguyễn Thế Tường,Tên > Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Thành viên HĐQT kiểm Phó Tổng Giám đốc,1.329.700.000,848.309.000,,1329700000.0,848309000.0
Ông Nguyễn Văn Tuế,Tên > Ông Nguyễn Văn Tuế,Ông Nguyễn Văn Tuế,Phó Tổng Giám đốc,909.700.000,848.309.000,,909700000.0,848309000.0
Ông Lê Minh Tuấn,Tên > Ông Lê Minh Tuấn,Ông Lê Minh Tuấn,Phó Tổng Giám đốc,909.700.000,848.309.000,,909700000.0,848309000.0
Ông Đỗ Việt Quân,Tên > Ông Đỗ Việt Quân,Ông Đỗ Việt Quân,Phó Tổng Giám đốc,909.700.000,848.309.000,,909700000.0,848309000.0
Ông Phạm Văn Học,Tên > Ông Phạm Văn Học,Ông Phạm Văn Học,Phó Tổng Giám đốc,909.700.000,848.309.000,,909700000.0,848309000.0
Bà Lê Thị Minh Thu,Tên > Bà Lê Thị Minh Thu,Bà Lê Thị Minh Thu,Phó Tổng Giám đốc,909.700.000,650.219.000,,909700000.0,650219000.0
Bà Bùi Hải Huyền,Tên > Bà Bùi Hải Huyền,Bà Bùi Hải Huyền,Phó Tổng Giám đốc (miễn nhiệm ngày 1 tháng 2 năm 2024),85.000.000,425.045.000,,85000000.0,425045000.0
Bà Nguyễn Thanh Hương,Tên > Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Thành viên HĐQT,320.000.000,240.000.000,,320000000.0,240000000.0
Ông Hoàng Nguyên Học,Tên > Ông Hoàng Nguyên Học,Ông Hoàng Nguyên Học,Thành viên HĐQT,320.000.000,240.000.000,,320000000.0,240000000.0
Ông Bùi Văn Hoan,Tên > Ông Bùi Văn Hoan,Ông Bùi Văn Hoan,Thành viên HĐQT,320.000.000,241.000.000,,320000000.0,241000000.0
Ông Nguyễn Hoàng Nguyên,Tên > Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Thành viên HĐQT,420.000.000,-,,420000000.0,
Ông Lê Quốc Đoàn,Tên > Ông Lê Quốc Đoàn,Ông Lê Quốc Đoàn,Thành viên HĐQT,420.000.000,-,,420000000.0,
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,13.607.301.000,10.149.736.000,,13607301000.0,10149736000.0
