row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Bán hàng,Mua nguyên vật liệu và dịch vụ,Phân bổ chi phí sử dụng tài sản,Lãi vay phân bổ,Lãi cho vay,Góp vốn,Lợi nhuận được chia,numeric__Mối quan hệ,numeric__Bán hàng,numeric__Mua nguyên vật liệu và dịch vụ,numeric__Phân bổ chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Lãi cho vay,numeric__Góp vốn,numeric__Lợi nhuận được chia
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,116.510.573.750,-,31.234.272.928,11.624.995,-,-,-,,116510573750.0,,31234272928.0,11624995.0,,,
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,262.845.408.828,-,403.749.996,-,-,-,-,,262845408828.0,,403749996.0,,,,
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,115.825.240.900,-,312.800.004,-,-,-,-,,115825240900.0,,312800004.0,,,,
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty con,233.682.188.100,-,14.461.505.611,-,-,-,-,,233682188100.0,,14461505611.0,,,,
Công ty TNHH Đầu tư Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư Phát triển chăn nuôi lợn Dabaco,Công ty con,986.556.375.400,-,-,-,-,-,-,,986556375400.0,,,,,,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,1.096.215.000,7.965.526.321,12.858.253.368,2.885.819.858,-,-,-,,1096215000.0,7965526321.0,12858253368.0,2885819858.0,,,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,1.237.048.638.720,-,8.679.642.378,-,-,-,54.142.435.020,,1237048638720.0,,8679642378.0,,,,54142435020.0
Công ty TNHH Lợn Giống Dabaco Hà Nam,Công ty TNHH Lợn Giống Dabaco Hà Nam,Công ty TNHH Lợn Giống Dabaco Hà Nam,Công ty con,132.339.745.000,-,277.440.000,-,-,-,-,,132339745000.0,,277440000.0,,,,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,-,70.524.172.208,-,-,-,-,5.133.012.874,,,70524172208.0,,,,,5133012874.0
Công ty TNHH Càng & Logistics Tân Chi,Công ty TNHH Càng & Logistics Tân Chi,Công ty TNHH Càng & Logistics Tân Chi,Công ty con,-,19.524.416.168,1.354.383.108,9.706.686,-,-,4.227.231.734,,,19524416168.0,1354383108.0,9706686.0,,,4227231734.0
