row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Bán hàng,"Mua hàng hóa, dịch vụ",Phân bổ chi phí sử dụng tài sản,Lãi vay phân bổ,Đơn vị tính: VND Lợi nhuận được chia,numeric__Mối quan hệ,numeric__Bán hàng,"numeric__Mua hàng hóa, dịch vụ",numeric__Phân bổ chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Đơn vị tính: VND Lợi nhuận được chia
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,179.231.886.657,-,34.564.145.928,221.955.508,-,,179231886657.0,,34564145928.0,221955508.0,
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,333.876.524.412,-,403.749.996,-,-,,333876524412.0,,403749996.0,,
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,66.560.068.800,-,312.800.004,-,-,,66560068800.0,,312800004.0,,
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty con,257.582.452.700,-,12.450.674.923,-,-,,257582452700.0,,12450674923.0,,
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty con,1.014.573.997.270,-,-,-,-,,1014573997270.0,,,,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,30.759.140.000,157.374.762.296,12.858.253.368,4.685.311.593,-,,30759140000.0,157374762296.0,12858253368.0,4685311593.0,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,1.469.670.089.656,-,16.025.539.246,3.636.828.767,98.160.938.155,,1469670089656.0,,16025539246.0,3636828767.0,98160938155.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,210.898.496.590,-,277.440.000,-,-,,210898496590.0,,277440000.0,,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,-,61.990.915.255,-,490.429.286,12.277.016.182,,,61990915255.0,,490429286.0,12277016182.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty con,-,49.325.087.708,1.474.887.030,114.030.007,8.836.737.574,,,49325087708.0,1474887030.0,114030007.0,8836737574.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,37.426.578.904,451.876.894,-,2.000.000.000,,,37426578904.0,451876894.0,,2000000000.0
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,107.867.301.890,-,5.563.610.904,-,-,,107867301890.0,,5563610904.0,,
Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty con,-,-,4.589.160.036,-,-,,,,4589160036.0,,
Công ty TNHH TACN Nasaco Hà Nam,Công ty TNHH TACN Nasaco Hà Nam,Công ty TNHH TACN Nasaco Hà Nam,Công ty con,687.930.735.661,-,4.847.293.581,74.096.141,10.983.832.845,,687930735661.0,,4847293581.0,74096141.0,10983832845.0
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,197.388.580.040,-,25.442.140.591,2.181.946.696,-,,197388580040.0,,25442140591.0,2181946696.0,
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,102.763.276.240,-,424.284.852,-,-,,102763276240.0,,424284852.0,,
