row_label_raw,row_label_full,col_0,Contributed charter capital,Share premium,Investment and development fund,Undistributed earnings,Currency: VND Total,numeric__Contributed charter capital,numeric__Share premium,numeric__Investment and development fund,numeric__Undistributed earnings,numeric__Currency: VND Total
Previous year:,Previous year:,Previous year:,Previous year:,Previous year:,Previous year:,Previous year:,Previous year:,,,,,
Beginning balance,Beginning balance,Beginning balance,"2,420,018,590,000","418,333,992,221","1,794,546,743,801","277,628,036,452","4,910,527,362,474",,,,,
- Net profit for the year,- Net profit for the year,- Net profit for the year,-,-,-,"315,551,188,338","315,551,188,338",,,,,
- Appropriation of investment and development fund,- Appropriation of investment and development fund,- Appropriation of investment and development fund,-,-,"5,194,587,097","(5,194,587,097)",-,,,,,
Ending balance,Ending balance,Ending balance,"2,420,018,590,000","418,333,992,221","1,799,741,330,898","587,984,637,693","5,226,078,550,812",,,,,
Current year:,Current year:,Current year:,Current year:,Current year:,Current year:,Current year:,Current year:,,,,,
Beginning balance,Beginning balance,Beginning balance,"2,420,018,590,000","418,333,992,221","1,799,741,330,898","587,984,637,693","5,226,078,550,812",,,,,
- Increase in capital (*),- Increase in capital (*),- Increase in capital (*),"806,672,860,000","403,336,430,000",-,-,"1,210,009,290,000",,,,,
- Net profit for the year,- Net profit for the year,- Net profit for the year,-,-,-,"319,096,888,908","319,096,888,908",,,,,
- Issuance of shares under the Employee Stock Option Program (*),- Issuance of shares under the Employee Stock Option Program (*),- Issuance of shares under the Employee Stock Option Program (*),"120,000,000,000",-,-,-,"120,000,000,000",,,,,
- Appropriation of investment and development fund (**),- Appropriation of investment and development fund (**),- Appropriation of investment and development fund (**),-,-,"25,007,193,924","(25,007,193,924)",-,,,,,
- Other decreases,- Other decreases,- Other decreases,-,"(248,200,000)",-,-,"(248,200,000)",,,,,
Ending balance,Ending balance,Ending balance,"3,346,691,450,000","821,422,222,221","1,824,748,524,822","882,074,332,677","6,874,936,529,720",,,,,
