row_label_raw,row_label_full,col_0,Balance,Balance_1,numeric__Balance,numeric__Balance_1
,,,Ending balance,Beginning balance,,
Advances from customers,Advances from customers,Advances from customers,-,"56,104,735,932",,
Unbilled trade discount (*),Unbilled trade discount (*),Unbilled trade discount (*),"80,800,069,203","57,000,833,925",,
Advances from related parties (Note 32),Advances from related parties (Note 32),Advances from related parties (Note 32),"539,833,524,039","130,657,400,833",,
TOTAL,TOTAL,TOTAL,"620,633,593,242","243,762,970,690",,
