row_label_raw,row_label_full,Related parties,Relationship,numeric__Relationship
Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Subsidiary,
Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Lac Ve Breeding Pig Company Limited,Subsidiary,
Investment and development Breed Processing Company,Investment and development Breed Processing Company,Investment and development Breed Processing Company,Subsidiary,
Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Subsidiary,
Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Dabaco Breeding Chicken Company Limited,Subsidiary,
Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Subsidiary,
Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Subsidiary,
Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Subsidiary,
Nutreco Company Limited,Nutreco Company Limited,Nutreco Company Limited,Subsidiary,
Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Subsidiary,
Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Subsidiary,
Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Nasaco Ha Nam Animal Feed Company Limited,Subsidiary,
Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Subsidiary,
Van Mieu Bac Ninh Reservoir Construction Company Limited,Van Mieu Bac Ninh Reservoir Construction Company Limited,Van Mieu Bac Ninh Reservoir Construction Company Limited,Subsidiary,
L'Indochina Tourist and Hospitality Company Limited,L'Indochina Tourist and Hospitality Company Limited,L'Indochina Tourist and Hospitality Company Limited,Subsidiary,
Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Dabaco Luong Tai Breeding Pig Company Limited,Subsidiary,
Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Subsidiary,
Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Khuc Xuyen Industrial Park Investment and Development Company Limited,Subsidiary,
Dabaco Oil Company Limited,Dabaco Oil Company Limited,Dabaco Oil Company Limited,Subsidiary,
Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Subsidiary,
Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Dabaco Binh Phuoc Animal Feed Company Limited,Subsidiary,
Dabaco Hoa Binh Company Limited,Dabaco Hoa Binh Company Limited,Dabaco Hoa Binh Company Limited,Subsidiary,
H2 Construction Company Limited,H2 Construction Company Limited,H2 Construction Company Limited,Subsidiary,
Dabaco Quang Ninh Joint Stock Company,Dabaco Quang Ninh Joint Stock Company,Dabaco Quang Ninh Joint Stock Company,Subsidiary,
Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Dabaco Thanh Hoa Company Limited,Subsidiary,
