row_label_raw,row_label_full,Bank loans,Ending balance (VND),Principal and interest repayment term,Interest rate,numeric__Ending balance (VND),numeric__Principal and interest repayment term,numeric__Interest rate
Bank loans in VND,Bank loans in VND,Bank loans in VND,"439,958,041,646",The principal loan amount is repayable from January 2025 to January 2029. Interest is payable monthly.,7.6% - 10.0%,,,
TOTAL,TOTAL,TOTAL,"439,958,041,646",,,,,
In which,In which,In which,In which,In which,In which,,,
Current portion,Current portion,Current portion,"174,304,041,646",,,,,
Non-current portion,Non-current portion,Non-current portion,"265,654,000,000",,,,,
