row_label_raw,row_label_full,Mr Ho Sy Quy,Head of Board of Supervision,numeric__Head of Board of Supervision
Mr Nguyen Thanh Ha,Mr Nguyen Thanh Ha,Mr Nguyen Thanh Ha,Member,
Ms Nguyen Thi Bich,Ms Nguyen Thi Bich,Ms Nguyen Thi Bich,Member,
