row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,"Máy móc, thiết bị",
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,522.996.433.455,522996433455.0
- Thuê thêm trong năm,Nguyên giá: > - Thuê thêm trong năm,- Thuê thêm trong năm,1.695.794.324,1695794324.0
- Phân loại sang TSCĐ hữu hình,Nguyên giá: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(110.340.511.458),-110340511458.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(5.475.186.667),-5475186667.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,408.876.529.654,408876529654.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,115.816.279.638,115816279638.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,59.266.231.468,59266231468.0
- Phân loại sang TSCĐ hữu hình,Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(50.059.285.803),-50059285803.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,(203.133.930),-203133930.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,124.820.091.373,124820091373.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,407.180.153.817,407180153817.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,284.056.438.281,284056438281.0
