row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 17),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 17),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 17),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 17),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 17),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 17),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 17),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 17),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 17)
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,Cung cấp dịch vụ vận tải,8.034.958.807,9.428.151.504,,,8034958807.0,9428151504.0
,,,,,8.034.958.807,9.428.151.504,,,8034958807.0,9428151504.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),Người mua trả tiền trước ngắn hạn (Thuyết minh số 18),,,,
Công ty TNHH Dầu thực vật Dabaco,Người mua trả tiền trước ngắn hạn (Thuyết minh số 18) > Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty con,Trả trước mua hàng hóa,175.961.704.443,-,,,175961704443.0,
Công ty TNHH Nutreco,Người mua trả tiền trước ngắn hạn (Thuyết minh số 18) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,Trả trước mua hàng hóa,147.414.963.557,106.724.127.118,,,147414963557.0,106724127118.0
Công ty TNHH Dabaco Thanh Hóa,Người mua trả tiền trước ngắn hạn (Thuyết minh số 18) > Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,Trả trước mua hàng hóa,83.677.450.877,-,,,83677450877.0,
Công ty Cổ phần Dabaco Quảng Ninh,Người mua trả tiền trước ngắn hạn (Thuyết minh số 18) > Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty con,Trả trước mua hàng hóa,56.523.000.000,-,,,56523000000.0,
Công ty TNHH Thức ăn chấn nuôi Nasaco Hà Nam,Người mua trả tiền trước ngắn hạn (Thuyết minh số 18) > Công ty TNHH Thức ăn chấn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chấn nuôi Nasaco Hà Nam,Công ty con,Trả trước mua hàng hóa,35.978.052.610,-,,,35978052610.0,
Công ty TNHH Du lịch & Khách sạn Le Indochina,Người mua trả tiền trước ngắn hạn (Thuyết minh số 18) > Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty con,Trả trước mua hàng hóa,28.511.598.194,9.346.746.061,,,28511598194.0,9346746061.0
Công ty TNHH Cụm Công nghiệp Khúc Xuyên,Người mua trả tiền trước ngắn hạn (Thuyết minh số 18) > Công ty TNHH Cụm Công nghiệp Khúc Xuyên,Công ty TNHH Cụm Công nghiệp Khúc Xuyên,Công ty con,Trả trước khác,11.766.754.358,14.586.527.654,,,11766754358.0,14586527654.0
,,,,,539.833.524.039,130.657.400.833,,,539833524039.0,130657400833.0
