row_label_raw,row_label_full,col_0,Currency: VND,Currency: VND_1,numeric__Currency: VND,numeric__Currency: VND_1
,,,Current year,Previous year,,
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"376,611,212,498","374,301,224,744",,
At CIT rate applicable,At CIT rate applicable,At CIT rate applicable,"57,875,359,071","66,387,377,823",,
Adjustments:,Adjustments:,Adjustments:,,,,
Provision for bad debts,Provision for bad debts,Provision for bad debts,"11,268,440,286","21,545,535,007",,
Depreciation expenses in excess of the deductible limit,Depreciation expenses in excess of the deductible limit,Depreciation expenses in excess of the deductible limit,"597,391,128","597,391,130",,
Others,Others,Others,"84,790,565","(199,622,313)",,
Profit distributed from subsidiaries,Profit distributed from subsidiaries,Profit distributed from subsidiaries,"(12,311,657,460)","(29,467,252,038)",,
Adjustment for over accrual of tax from prior years,Adjustment for over accrual of tax from prior years,Adjustment for over accrual of tax from prior years,-,"(113,393,203)",,
CIT expenses,CIT expenses,CIT expenses,"57,514,323,590","58,750,036,406",,
