row_label_raw,row_label_full,"Lợi nhuận được chia từ các công ty con, công ty liên kết (Thuyết minh số 32)",Đơn vị tính: VND > Năm nay > 82.077.716.399,Đơn vị tính: VND > Năm trước > 196.448.346.919,numeric__Đơn vị tính: VND > Năm nay > 82.077.716.399,numeric__Đơn vị tính: VND > Năm trước > 196.448.346.919
"Lãi tiền gửi, cho vay","Lãi tiền gửi, cho vay","Lãi tiền gửi, cho vay",49.196.636.094,30.311.386.359,49196636094.0,30311386359.0
Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,13.257.981,14.651.360,13257981.0,14651360.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,131.287.610.474,226.774.384.638,131287610474.0,226774384638.0
