row_label_raw,row_label_full,Buildings and structures,5 - 25 years,numeric__5 - 25 years
Machinery and equipment,Machinery and equipment,Machinery and equipment,5 - 15 years,
Means of transportation,Means of transportation,Means of transportation,6 - 10 years,
Office equipment,Office equipment,Office equipment,3 - 8 years,
