row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 7.1),Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 7.1)
Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty con,Tài trợ vốn,77.824.053.487,52.401.657.868,,,77824053487.0,52401657868.0
Công ty TNHH Căng & Logistic Tân Chi,Công ty TNHH Căng & Logistic Tân Chi,Công ty TNHH Căng & Logistic Tân Chi,Công ty con,Tài trợ vốn,54.704.056.411,38.252.044.087,,,54704056411.0,38252044087.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Phải thu khấu hao,39.130.979.451,-,,,39130979451.0,
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Phải thu cho vay,30.518.052.334,-,,,30518052334.0,
Công ty TNHH Thức ăn chắn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chắn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chắn nuôi Dabaco Bình Phước,Công ty con,Phải thu khấu hao và lãi vay,28.530.366.526,43.239.167.220,,,28530366526.0,43239167220.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,"Phải thu khấu hao, lãi vay",27.060.912.401,53.033.694.053,,,27060912401.0,53033694053.0
Công ty TNHH Dược và Thú y Dacovet,Công ty TNHH Dược và Thú y Dacovet,Công ty TNHH Dược và Thú y Dacovet,Công ty con,Tài trợ vốn,25.098.590.417,-,,,25098590417.0,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,"Phải thu khấu hao, lãi vay",23.007.971.050,34.055.367.998,,,23007971050.0,34055367998.0
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,"Phải thu khấu hao, lãi vay",12.007.999.627,47.956.939.662,,,12007999627.0,47956939662.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Phải thu khấu hao và lãi vay,12.913.580.195,30.100.836.813,,,12913580195.0,30100836813.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,"Phải thu khấu hao, lãi vay",6.843.970.382,34.093.970.382,,,6843970382.0,34093970382.0
Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,Phải thu khấu hao và lãi vay,-,29.070.249.530,,,,29070249530.0
Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty con,Phải thu khấu hao và lãi vay,2.543.015.192,8.340.751.866,,,2543015192.0,8340751866.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,,Tài trợ vốn,30.258.879.071,17.085.836.178,,,30258879071.0,17085836178.0
Phải thu khác từ thành viên quản lý chủ chốt,Phải thu khác từ thành viên quản lý chủ chốt,Phải thu khác từ thành viên quản lý chủ chốt,,Chuyển nhượng vốn góp công ty liên kết,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
,,,,,371.442.426.544,388.630.515.657,,,371442426544.0,388630515657.0
Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),,,,
Công ty TNHH Đầu thực vật Dabaco,Phải thu về cho vay dài hạn (Chỉ tiêu số 215) > Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,Phải thu cho vay dài hạn (*),706.000.000.000,-,,,706000000000.0,
,,,,,706.000.000.000,-,,,706000000000.0,
