row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Mối quan hệ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Nội dung nghiệp vụ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Số cuối năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Số đầu năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Mối quan hệ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Nội dung nghiệp vụ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Số cuối năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Số đầu năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211)
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,"Phải thu khấu hao, lãi vay",291.005.298.199,297.734.420.465,,,291005298199.0,297734420465.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Phải thu khấu hao,146.707.373.014,162.273.333.895,,,146707373014.0,162273333895.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,"Phải thu khấu hao, lãi vay",144.010.575.805,166.258.749.711,,,144010575805.0,166258749711.0
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,"Phải thu khấu hao, lãi vay",143.292.482.024,187.756.746.815,,,143292482024.0,187756746815.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,"Phải thu khấu hao, lãi vay",80.363.946.802,94.338.397.654,,,80363946802.0,94338397654.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,"Phải thu khấu hao, lãi vay",73.761.617.193,29.442.113.371,,,73761617193.0,29442113371.0
Công ty TNHH Cằng & Logistics Tân Chi,Công ty TNHH Cằng & Logistics Tân Chi,Công ty TNHH Cằng & Logistics Tân Chi,Công ty con,"Phải thu khấu hao, lãi vay",64.524.092.750,69.451.978.706,,,64524092750.0,69451978706.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Phải thu khấu hao,62.153.890.002,88.153.890.002,,,62153890002.0,88153890002.0
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,"Phải thu khấu hao, lãi vay",49.105.362.374,101.607.488.201,,,49105362374.0,101607488201.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Phải thu khấu hao,40.469.718.671,43.675.214.671,,,40469718671.0,43675214671.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,Phải thu khấu hao,36.772.632.150,47.222.999.748,,,36772632150.0,47222999748.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Phải thu khấu hao,21.460.709.798,35.922.215.216,,,21460709798.0,35922215216.0
