row_label_raw,row_label_full,Các khoản nợ thuê tài chính,Số cuối năm (VND) > 191.785.432.156,Kỳ hạn trả gốc và lãi > Kỳ hạn khoản nợ thuê tài chính từ 5 đến 12 năm. Gốc vay được trả lần cuối đến tháng 4 năm 2029. Lãi vay trả hàng tháng.,"Lãi suất năm > 5,6% - 9,5%",numeric__Số cuối năm (VND) > 191.785.432.156,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn khoản nợ thuê tài chính từ 5 đến 12 năm. Gốc vay được trả lần cuối đến tháng 4 năm 2029. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 5,6% - 9,5%"
Tổng cộng,Tổng cộng,Tổng cộng,191.785.432.156,,,191785432156.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Nợ dài hạn đến hạn trả,Trong đó: > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,84.110.130.062,,,84110130062.0,,
Nợ dài hạn,Trong đó: > Nợ dài hạn,Nợ dài hạn,107.675.302.094,,,107675302094.0,,
