row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Accrued cost of real estate construction and development,Accrued cost of real estate construction and development,Accrued cost of real estate construction and development,"36,602,523,306","52,883,305,610",,
Fees for opening letter of credit,Fees for opening letter of credit,Fees for opening letter of credit,-,"27,105,107,426",,
Interest expenses,Interest expenses,Interest expenses,"2,489,257,947","2,655,702,056",,
Others,Others,Others,"1,056,861,995","590,074,292",,
TOTAL,TOTAL,TOTAL,"40,148,643,248","83,234,189,384",,
