row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year,numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year
01,01,01,1. Revenue from sale of goods and rendering of services,25.1,"10,252,090,987,670","9,877,106,442,187",,251.0,,
02,02,02,2. Deductions,25.1,"(82,839,212,167)","(58,328,685,425)",,251.0,,
10,10,10,3. Net revenue from sale of goods and rendering of services,25.1,"10,169,251,775,503","9,818,777,756,762",,251.0,,
11,11,11,4. Cost of goods sold and services rendered,26,"(9,458,816,055,322)","(8,893,864,382,799)",,26.0,,
20,20,20,5. Gross profit from sale of goods and rendering of services,,"710,435,720,181","924,913,373,963",,,,
21,20 > 21,21,6. Finance income,25.2,"131,287,610,474","226,774,384,638",,252.0,,
22,20 > 22,22,7. Finance expenses,27,"(97,756,226,685)","(302,542,992,808)",,27.0,,
23,23,23,In which: Interest expense,,"(106,018,924,136)","(158,208,174,533)",,,,
25,23 > 25,25,8. Selling expenses,28,"(110,154,550,796)","(140,269,244,513)",,28.0,,
26,23 > 26,26,9. General and administrative expenses,28,"(271,648,890,041)","(352,058,622,213)",,28.0,,
30,30,30,10. Operating profit,,"362,163,663,133","356,816,899,067",,,,
31,30 > 31,31,11. Other income,29,"16,058,672,453","19,033,232,966",,29.0,,
32,32,32,12. Other expenses,,"(1,611,123,088)","(1,548,907,289)",,,,
40,40,40,13. Other profit,,"14,447,549,365","17,484,325,677",,,,
50,50,50,14. Accounting profit before tax,,"376,611,212,498","374,301,224,744",,,,
51,50 > 51,51,15. Current corporate income tax expense,31.1,"(69,634,333,970)","(58,750,036,406)",,311.0,,
52,50 > 52,52,16. Deferred tax income,31.3,"12,120,010,380",-,,313.0,,
60,60,60,17. Net profit after tax corporate income,,"319,096,888,908","315,551,188,338",,,,
