row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Beginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Beginning balance
Long-term trade receivables (Code 211),Long-term trade receivables (Code 211),Long-term trade receivables (Code 211),Long-term trade receivables (Code 211),Long-term trade receivables (Code 211),Long-term trade receivables (Code 211),Long-term trade receivables (Code 211),,,,
Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Dabaco Binh Phuoc Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","291,005,298,199","297,734,420,465",,,,
Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Dabaco Ha Nam Breeding Pig Company Limited,Subsidiary,Depreciation receivables,"146,707,373,014","162,273,333,895",,,,
Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Dabaco Tuyen Quang Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","144,010,575,805","166,258,749,711",,,,
Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Dabaco Phu Tho Breeding Pig Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","143,292,482,024","187,756,746,815",,,,
Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Hiep Quang Trading Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","80,363,946,802","94,338,397,654",,,,
Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Bac Ninh Trading Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","73,761,617,193","29,442,113,371",,,,
Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Tan Chi Port & Logistics Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","64,524,092,750","69,451,978,706",,,,
Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Dabaco Pig Raising Investment & Development Company Limited,Subsidiary,Depreciation receivables,"62,153,890,002","88,153,890,002",,,,
Dabaco Oil Company Limited,Dabaco Oil Company Limited,Dabaco Oil Company Limited,Subsidiary,"Depreciation receivables, Interest expenses","49,105,362,374","101,607,488,201",,,,
Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Dabaco Hai Phong Breeding Pig Company Limited,Subsidiary,Depreciation receivables,"40,469,718,671","43,675,214,671",,,,
Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Dabaco Nuclear Breeding Pig Company,Subsidiary,Depreciation receivables,"36,772,632,150","47,222,999,748",,,,
Investment and development Breed Processing Company,Investment and development Breed Processing Company,Investment and development Breed Processing Company,Subsidiary,Depreciation receivables,"21,460,709,798","35,922,215,216",,,,
