row_label_raw,row_label_full,col_0,Currency: VND,Currency: VND_1,numeric__Currency: VND,numeric__Currency: VND_1
,,,Current year,Previous year,,
Selling expenses,Selling expenses,Selling expenses,"110,154,550,796","140,269,244,513",,
- Labour costs,- Labour costs,- Labour costs,"68,376,543,000","58,227,638,000",,
- Raw materials expenses,- Raw materials expenses,- Raw materials expenses,"5,470,763,000","5,993,510,000",,
- Depreciation expenses,- Depreciation expenses,- Depreciation expenses,"2,518,583,066","1,854,381,801",,
- Expenses for external services,- Expenses for external services,- Expenses for external services,"15,643,274,155","64,998,779,482",,
- Others,- Others,- Others,"18,145,387,575","9,194,935,230",,
General and administrative expenses,General and administrative expenses,General and administrative expenses,"271,648,890,041","352,058,622,213",,
- Labour costs,- Labour costs,- Labour costs,"68,012,974,100","57,649,362,995",,
- Stationery costs,- Stationery costs,- Stationery costs,"4,627,836,981","6,592,223,676",,
- Depreciation expenses,- Depreciation expenses,- Depreciation expenses,"22,364,012,170","24,544,394,078",,
- Expenses for external services,- Expenses for external services,- Expenses for external services,"31,006,628,649","20,210,546,061",,
- Provision for bad debts,- Provision for bad debts,- Provision for bad debts,"136,275,165,477","235,057,244,004",,
- Others,- Others,- Others,"9,362,272,664","8,004,851,399",,
TOTAL,TOTAL,TOTAL,"381,803,440,837","492,327,866,726",,
