row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1)
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Bán hàng hóa,481.432.331.346,692.643.672.096,,,481432331346.0,692643672096.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Bán hàng hóa,351.210.389.970,288.571.999.036,,,351210389970.0,288571999036.0
Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty con,Bán hàng hóa,311.141.689.003,252.427.369.012,,,311141689003.0,252427369012.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Bán hàng hóa,308.794.147.321,258.651.935.787,,,308794147321.0,258651935787.0
Công ty TNHH Dabaco Binh Phước,Công ty TNHH Dabaco Binh Phước,Công ty TNHH Dabaco Binh Phước,Công ty con,Bán hàng hóa,241.728.692.240,238.316.475.837,,,241728692240.0,238316475837.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Bán hàng hóa,205.419.189.578,158.249.123.105,,,205419189578.0,158249123105.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,Bán hàng hóa,149.466.886.106,320.388.275.197,,,149466886106.0,320388275197.0
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,Bán hàng hóa,170.970.875.473,188.128.330.477,,,170970875473.0,188128330477.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Bán hàng hóa,100.477.490.159,129.680.777.207,,,100477490159.0,129680777207.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Bán hàng hóa,94.388.343.165,64.436.459.069,,,94388343165.0,64436459069.0
Công ty TNHH Thức ăn chăn nuôi Dabaco Binh Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Binh Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Binh Phước,Công ty con,Bán hàng hóa,77.526.275.153,87.924.456.041,,,77526275153.0,87924456041.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,Bán hàng hóa,38.469.533.596,82.958.282.572,,,38469533596.0,82958282572.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,Bán hàng hóa,158.390.000,58.247.652.471,,,158390000.0,58247652471.0
Công ty TNHH TACN Nasaco Hà Nam,Công ty TNHH TACN Nasaco Hà Nam,Công ty TNHH TACN Nasaco Hà Nam,Công ty con,Bán hàng hóa,-,357.261.825.288,,,,357261825288.0
Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty con,Bán hàng hóa,-,110.737.169.130,,,,110737169130.0
Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty con,Bán hàng hóa,-,29.110.000.000,,,,29110000000.0
Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,Bán hàng hóa,-,18.420.447.794,,,,18420447794.0
Công ty TNHH Dabaco Hòa Bình,Công ty TNHH Dabaco Hòa Bình,Công ty TNHH Dabaco Hòa Bình,Công ty con,Bán hàng hóa,-,16.696.251.000,,,,16696251000.0
