row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,10.252.090.987.670,9.877.106.442.187,10252090987670.0,9877106442187.0
Trong đó,Trong đó,Trong đó,,,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,5.673.180.916.323,4.965.566.569.170,5673180916323.0,4965566569170.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",4.336.853.675.015,4.158.357.969.713,4336853675015.0,4158357969713.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,242.056.396.332,753.181.903.304,242056396332.0,753181903304.0
Các khoản giảm trừ doanh thu,Trong đó > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(82.839.212.167),(58.328.685.425),-82839212167.0,-58328685425.0
Chiết khấu thương mại,Trong đó > Chiết khấu thương mại,Chiết khấu thương mại,(80.800.069.203),(57.000.833.925),-80800069203.0,-57000833925.0
Hàng bán bị trả lại,Trong đó > Hàng bán bị trả lại,Hàng bán bị trả lại,(2.039.142.964),(1.327.851.500),-2039142964.0,-1327851500.0
Doanh thu thuần,Trong đó > Doanh thu thuần,Doanh thu thuần,10.169.251.775.503,9.818.777.756.762,10169251775503.0,9818777756762.0
Trong đó,Trong đó,Trong đó,,,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,5.590.341.704.156,4.907.237.883.745,5590341704156.0,4907237883745.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",4.336.853.675.015,4.158.357.969.713,4336853675015.0,4158357969713.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,242.056.396.332,753.181.903.304,242056396332.0,753181903304.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên thứ ba,Trong đó: > Doanh thu đối với bên thứ ba,Doanh thu đối với bên thứ ba,2.675.183.218.941,2.867.255.753.924,2675183218941.0,2867255753924.0
Doanh thu đối với bên liên quan (Thuyết minh số 32),Trong đó: > Doanh thu đối với bên liên quan (Thuyết minh số 32),Doanh thu đối với bên liên quan (Thuyết minh số 32),7.494.068.556.562,6.951.522.002.838,7494068556562.0,6951522002838.0
