row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Số cuối năm > Giá trị(VND) > Tên đơn vị,Số cuối năm > Dự phòng (VND) > Tên đơn vị,Số cuối năm > Tỷ lệ vốnnăm giữ > Tên đơn vị,Số cuối năm > Tỷ lệ quyềnbiểu quyết > Tên đơn vị,Số đầu năm > Giá trị(VND) > Tên đơn vị,Số đầu năm > Dự phòng (VND) > Tên đơn vị,Số đầu năm > Tỷ lệ vốnnăm giữ > Tên đơn vị,Số đầu năm > Tỷ lệ quyềnbiểu quyết > Tên đơn vị,numeric__Tên đơn vị_1,numeric__Số cuối năm > Giá trị(VND) > Tên đơn vị,numeric__Số cuối năm > Dự phòng (VND) > Tên đơn vị,numeric__Số cuối năm > Tỷ lệ vốnnăm giữ > Tên đơn vị,numeric__Số cuối năm > Tỷ lệ quyềnbiểu quyết > Tên đơn vị,numeric__Số đầu năm > Giá trị(VND) > Tên đơn vị,numeric__Số đầu năm > Dự phòng (VND) > Tên đơn vị,numeric__Số đầu năm > Tỷ lệ vốnnăm giữ > Tên đơn vị,numeric__Số đầu năm > Tỷ lệ quyềnbiểu quyết > Tên đơn vị
Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,Công ty Cổ phần Chế biến thực phẩm,,,,,,,,,
Dabaco,Công ty Cổ phần Chế biến thực phẩm > Dabaco,Dabaco,(i),114.000.000.000,(27.919.987.480),"49,56%","49,56%",114.000.000.000,(21.943.732.474),"49,56%","49,56%",,114000000000.0,-27919987480.0,0.49560000000000004,0.49560000000000004,114000000000.0,-21943732474.0,0.49560000000000004,0.49560000000000004
Công ty Cổ phần Transeco,Công ty Cổ phần Chế biến thực phẩm > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,(ii),20.000.000.000,-,"33,33%","33,33%",20.000.000.000,-,"33,33%","33,33%",,20000000000.0,,0.3333,0.3333,20000000000.0,,0.3333,0.3333
TỔNG CỘNG,Công ty Cổ phần Chế biến thực phẩm > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,134.000.000.000,(27.919.987.480),,,134.000.000.000,(21.943.732.474),,,,134000000000.0,-27919987480.0,,,134000000000.0,-21943732474.0,,
(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,(i) Công ty Cổ phần Chế biến thực phẩm Dabaco,,,,,,,,,
"Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.","Công ty Cổ phần Chế biến thực phẩm Dabaco là một công ty trách nhiệm hữu hạn được thành lập theo Giấy Chứng nhận Đăng ký Doanh nghiệp số 2300345626 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 4 tháng 9 năm 2008 và theo các Giấy Chứng nhận Đăng ký Doanh nghiệp điều chỉnh sau đó. Hoạt động chính theo Giấy Chứng nhận Đăng ký Doanh nghiệp của công ty này là giết mỗ, chế biến thịt gia súc, gia cầm; sân xuất thực phẩm và đồ uống.",,,,,,,,,
"Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Nam Viên, xã Lạc Vệ, huyện Tiên Du, tỉnh Bắc Ninh.",,,,,,,,,
(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,(ii) Công ty Cổ phần Transeco,,,,,,,,,
Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,Công ty Cổ phần Transeco là một công ty cổ phần được thành lập theo Giấy Chứng nhận Đăng ký Kinh doanh số 2300942823 do Sở Kế hoạch và Đầu tư tỉnh Bắc Ninh cấp ngày 13 tháng 7 năm 2016. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là cung cấp dịch vụ vận chuyển và vận tải.,,,,,,,,,
"Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Công ty này có trụ sở tại Cụm công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh.",,,,,,,,,
