row_label_raw,row_label_full,col_0,Phần mềmvi tínhVND,WebsiteCông tyVND,TổngVND,numeric__Phần mềmvi tínhVND,numeric__WebsiteCông tyVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.554.528.880,2.508.310.000,6.062.838.880,3554528880.0,2508310000.0,6062838880.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,779.887.000,-,779.887.000,779887000.0,,779887000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.334.415.880,2.508.310.000,6.842.725.880,4334415880.0,2508310000.0,6842725880.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.244.646.257,627.077.484,3.871.723.741,3244646257.0,627077484.0,3871723741.0
Phân bổ trong năm,Giá trị hao mòn lũy kế > Phân bổ trong năm,Phân bổ trong năm,461.616.708,-,461.616.708,461616708.0,,461616708.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.706.262.965,627.077.484,4.333.340.449,3706262965.0,627077484.0,4333340449.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,309.882.623,1.881.232.516,2.191.115.139,309882623.0,1881232516.0,2191115139.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,628.152.915,1.881.232.516,2.509.385.431,628152915.0,1881232516.0,2509385431.0
