row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,249.090.909,1.023.943.943,8.427.339.851,7.456.890.583,17.157.265.286,249090909.0,1023943943.0,8427339851.0,7456890583.0,17157265286.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,5.432.001.089,3.830.746.000,9.262.747.089,,,5432001089.0,3830746000.0,9262747089.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(3.903.894.301),-,(3.903.894.301),,,-3903894301.0,,-3903894301.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,249.090.909,1.023.943.943,9.955.446.639,11.287.636.583,22.516.118.074,249090909.0,1023943943.0,9955446639.0,11287636583.0,22516118074.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,62.272.728,1.023.943.943,5.141.894.969,5.961.857.648,12.189.969.288,62272728.0,1023943943.0,5141894969.0,5961857648.0,12189969288.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,41.515.152,-,664.846.858,692.182.910,1.398.544.920,41515152.0,,664846858.0,692182910.0,1398544920.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(3.903.894.301),-,(3.903.894.301),,,-3903894301.0,,-3903894301.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,103.787.880,1.023.943.943,1.902.847.526,6.654.040.558,9.684.619.907,103787880.0,1023943943.0,1902847526.0,6654040558.0,9684619907.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,186.818.181,-,3.285.444.882,1.495.032.935,4.967.295.998,186818181.0,,3285444882.0,1495032935.0,4967295998.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,145.303.029,-,8.052.599.113,4.633.596.025,12.831.498.167,145303029.0,,8052599113.0,4633596025.0,12831498167.0
