row_label_raw,row_label_full,col_0,Số ngàyquá hạn,31/12/2017 và 1/1/2017 > Giá gốcVND,31/12/2017 và 1/1/2017 > Dự phòngVND,31/12/2017 và 1/1/2017 > Giá trị cố thểthu hồiVND,numeric__Số ngàyquá hạn,numeric__31/12/2017 và 1/1/2017 > Giá gốcVND,numeric__31/12/2017 và 1/1/2017 > Dự phòngVND,numeric__31/12/2017 và 1/1/2017 > Giá trị cố thểthu hồiVND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,
Công ty TNHH Xây dựng À Đông,Nợ quá hạn > Công ty TNHH Xây dựng À Đông,Công ty TNHH Xây dựng À Đông,Hon 5 năm,36.219.590.000,36.219.590.000,-,,36219590000.0,36219590000.0,
Công ty TNHH Thương mại -Dịch vụ Kinh doanh Địa Óc ViệtR.E.M.A.X,Nợ quá hạn > Công ty TNHH Thương mại -Dịch vụ Kinh doanh Địa Óc ViệtR.E.M.A.X,Công ty TNHH Thương mại -Dịch vụ Kinh doanh Địa Óc ViệtR.E.M.A.X,Hon 5 năm,50.000.000.000,50.000.000.000,-,,50000000000.0,50000000000.0,
,,,,86.219.590.000,86.219.590.000,-,,86219590000.0,86219590000.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Dự phòng phải thu khó đòi – ngắn hạn,Trong đó: > Dự phòng phải thu khó đòi – ngắn hạn,Dự phòng phải thu khó đòi – ngắn hạn,,,86.219.590.000,-,,,86219590000.0,
