row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2017VND,2016VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,,
Cho vay,Công ty Cổ phần Thương Tín Tàu Cuốc > Cho vay,Cho vay,101.500.000.000,90.111.488.000,101500000000.0,90111488000.0
Thu nhập lãi vay,Công ty Cổ phần Thương Tín Tàu Cuốc > Thu nhập lãi vay,Thu nhập lãi vay,661.062.500,3.846.009.956,661062500.0,3846009956.0
Vay,Công ty Cổ phần Thương Tín Tàu Cuốc > Vay,Vay,52.000.000.000,61.500.000.000,52000000000.0,61500000000.0
Chỉ phi lãi vay,Công ty Cổ phần Thương Tín Tàu Cuốc > Chỉ phi lãi vay,Chỉ phi lãi vay,11.687.252.402,985.687.500,11687252402.0,985687500.0
Chuyển lãi vay phải thu sang phải thu về cho vay,Công ty Cổ phần Thương Tín Tàu Cuốc > Chuyển lãi vay phải thu sang phải thu về cho vay,Chuyển lãi vay phải thu sang phải thu về cho vay,-,511.488.000,,511488000.0
Bán dịch vụ,Công ty Cổ phần Thương Tín Tàu Cuốc > Bán dịch vụ,Bán dịch vụ,78.461.375.043,49.248.058.871,78461375043.0,49248058871.0
Cổ tức,Công ty Cổ phần Thương Tín Tàu Cuốc > Cổ tức,Cổ tức,122.874.286.500,-,122874286500.0,
