row_label_raw,row_label_full,09. Chi phí quản lý doanh nghiệp,Năm 2020,Năm 2019,numeric__Năm 2020,numeric__Năm 2019
- Chi phí nhân viên,- Chi phí nhân viên,- Chi phí nhân viên,785.760.062.491,690.814.697.120,785760062491.0,690814697120.0
- Chi phí vật liệu,- Chi phí vật liệu,- Chi phí vật liệu,32.301.636.403,85.137.325.617,32301636403.0,85137325617.0
"- Chi phí dụng cụ, đồ dùng","- Chi phí dụng cụ, đồ dùng","- Chi phí dụng cụ, đồ dùng",9.430.471.289,18.038.679.479,9430471289.0,18038679479.0
- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,85.402.575.096,80.124.930.560,85402575096.0,80124930560.0
"- Thuế, phí và lệ phí","- Thuế, phí và lệ phí","- Thuế, phí và lệ phí",32.356.531.084,47.914.563.883,32356531084.0,47914563883.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,155.191.523.134,160.964.033.011,155191523134.0,160964033011.0
- Trích Quỹ khoa học công nghệ,- Trích Quỹ khoa học công nghệ,- Trích Quỹ khoa học công nghệ,208.377.059.763,17.296.486.348,208377059763.0,17296486348.0
- Chi phí dự phòng,- Chi phí dự phòng,- Chi phí dự phòng,(15.437.655.981),70.335.748.926,-15437655981.0,70335748926.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,480.678.073.985,458.735.860.701,480678073985.0,458735860701.0
Cộng,Cộng,Cộng,1.774.060.277.264,1.629.362.325.645,1774060277264.0,1629362325645.0
