row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất :,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất :,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,121.653.155.697,247.990.000,48.804.905.027,11.841.511.644,182.547.562.368,121653155697.0,247990000.0,48804905027.0,11841511644.0,182547562368.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,102.211.818,748.391.619,2.250.988.273,,3.101.591.710,102211818.0,748391619.0,2250988273.0,,3101591710.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(296.193.240),-,(296.193.240),,,-296193240.0,,-296193240.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,-,-,(85.790.000),,(85.790.000),,,-85790000.0,,-85790000.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,36.412.076,-,(31.753.868),-,4.658.208,36412076.0,,-31753868.0,,4658208.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,121.791.779.591,996.381.619,50.642.156.192,11.841.511.644,185.271.829.046,121791779591.0,996381619.0,50642156192.0,11841511644.0,185271829046.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,20.282.296.864,227.779.579,37.229.584.212,6.510.948.114,64.250.608.769,20282296864.0,227779579.0,37229584212.0,6510948114.0,64250608769.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.283.116.665,494.781.710,4.785.769.143,,7.563.667.518,2283116665.0,494781710.0,4785769143.0,,7563667518.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(296.193.240),-,(296.193.240),,,-296193240.0,,-296193240.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,(26.601.432),-,(26.601.432),,,-26601432.0,,-26601432.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,-,-,(69.803.069),-,(69.803.069),,,-69803069.0,,-69803069.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.565.413.529,722.561.289,41.622.755.614,6.510.948.114,71.421.678.546,22565413529.0,722561289.0,41622755614.0,6510948114.0,71421678546.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,101.370.858.833,20.210.421,11.575.320.815,5.330.563.530,118.296.953.599,101370858833.0,20210421.0,11575320815.0,5330563530.0,118296953599.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,99.226.366.062,273.820.330,9.019.400.578,5.330.563.530,113.850.150.500,99226366062.0,273820330.0,9019400578.0,5330563530.0,113850150500.0
