row_label_raw,row_label_full,08. Hàng tồn kho,31/12/2020,31/12/2020_1,01/01/2020,01/01/2020_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__01/01/2020,numeric__01/01/2020_1
08. Hàng tồn kho,08. Hàng tồn kho,08. Hàng tồn kho,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi đường,08. Hàng tồn kho > Hàng mua đang đi đường,Hàng mua đang đi đường,15.694.194.323,-,62.310.618.242,-,15694194323.0,,62310618242.0,
"Nguyên liệu, vật liệu tồn kho","08. Hàng tồn kho > Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",261.638.472.482,-,520.988.357.492,(9.107.645.418),261638472482.0,,520988357492.0,-9107645418.0
"Công cụ, dụng cụ trong kho","08. Hàng tồn kho > Công cụ, dụng cụ trong kho","Công cụ, dụng cụ trong kho",221.593.395.070,-,258.196.772.719,-,221593395070.0,,258196772719.0,
Chi phí SXKD dở dang,08. Hàng tồn kho > Chi phí SXKD dở dang,Chi phí SXKD dở dang,773.188.536.874,-,809.275.432.743,(1.704.696.000),773188536874.0,,809275432743.0,-1704696000.0
Thành phẩm tồn kho,08. Hàng tồn kho > Thành phẩm tồn kho,Thành phẩm tồn kho,575.191.595.456,(10.392.086.856),1.698.071.198.059,(20.889.384.955),575191595456.0,-10392086856.0,1698071198059.0,-20889384955.0
Hàng hóa tồn kho,08. Hàng tồn kho > Hàng hóa tồn kho,Hàng hóa tồn kho,156.515.717.763,(4.508.754.593),148.263.977.852,(35.315.893.965),156515717763.0,-4508754593.0,148263977852.0,-35315893965.0
Hàng gửi di bán,08. Hàng tồn kho > Hàng gửi di bán,Hàng gửi di bán,76.631.028.458,-,62.981.266.232,-,76631028458.0,,62981266232.0,
Hàng hóa bất động sản,08. Hàng tồn kho > Hàng hóa bất động sản,Hàng hóa bất động sản,13.745.601.075,-,13.745.601.075,-,13745601075.0,,13745601075.0,
Cộng,08. Hàng tồn kho > Cộng,Cộng,2.094.198.541.501,(14.900.841.449),3.573.833.224.414,(67.017.620.338),2094198541501.0,-14900841449.0,3573833224414.0,-67017620338.0
