row_label_raw,row_label_full,15. Tài sản dở dang dài hạn,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
"- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn",94.510.332.841,145.694.093.360,94510332841.0,145694093360.0
- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,17.907.211.224.195,21.598.873.912.902,17907211224195.0,21598873912902.0
+ Vườm cây cao su KTCB,+ Vườm cây cao su KTCB,+ Vườm cây cao su KTCB,15.987.135.192.461,19.254.240.877.962,15987135192461.0,19254240877962.0
+ Vườm cây khác,+ Vườm cây khác,+ Vườm cây khác,42.675.903.135,234.348.934.700,42675903135.0,234348934700.0
"+ Nhà máy, đáy chuyển chế biến cao su","+ Nhà máy, đáy chuyển chế biến cao su","+ Nhà máy, đáy chuyển chế biến cao su",131.784.048.325,191.371.534.398,131784048325.0,191371534398.0
"+ Đường giao thông, dập thủy lợi","+ Đường giao thông, dập thủy lợi","+ Đường giao thông, dập thủy lợi",1.930.750.375,13.657.845.337,1930750375.0,13657845337.0
"+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng",587.121.541.114,820.773.970.393,587121541114.0,820773970393.0
+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,12.208.698.336,4.644.762.286,12208698336.0,4644762286.0
+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,1.144.355.090.449,1.079.835.987.826,1144355090449.0,1079835987826.0
Cộng,Cộng,Cộng,18.001.721.557.036,21.744.568.006.262,18001721557036.0,21744568006262.0
