row_label_raw,row_label_full,col_0,31/12/2020 > Giá gốc,31/12/2020 > Dự phòng,31/12/2020 > Giá trị hợp lý,01/01/2020 > Giá gốc,01/01/2020 > Dự phòng,01/01/2020 > Giá trị hợp lý,numeric__31/12/2020 > Giá gốc,numeric__31/12/2020 > Dự phòng,numeric__31/12/2020 > Giá trị hợp lý,numeric__01/01/2020 > Giá gốc,numeric__01/01/2020 > Dự phòng,numeric__01/01/2020 > Giá trị hợp lý
02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),02. Đầu tư tài chính (Tiếp theo),,,,,,
02.3. Đầu tư góp vốn vào đơn vị khác,02. Đầu tư tài chính (Tiếp theo) > 02.3. Đầu tư góp vốn vào đơn vị khác,02.3. Đầu tư góp vốn vào đơn vị khác,354.526.105.622,(26.329.784.049),328.196.321.573,274.723.400.907,(31.557.012.104),243.166.388.803,354526105622.0,-26329784049.0,328196321573.0,274723400907.0,-31557012104.0,243166388803.0
Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,02. Đầu tư tài chính (Tiếp theo) > Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,Công ty CP Tư vấn Xây dựng đô thị KCN Cao su VN,-,-,-,499.950.000,(499.950.000),-,,,,499950000.0,-499950000.0,
Công ty CP Vũng Tàu Intourco,02. Đầu tư tài chính (Tiếp theo) > Công ty CP Vũng Tàu Intourco,Công ty CP Vũng Tàu Intourco,3.850.000.000,-,3.850.000.000,3.850.000.000,(1.232.000.000),2.618.000.000,3850000000.0,,3850000000.0,3850000000.0,-1232000000.0,2618000000.0
Công ty CP Chứng khoán SH,Công ty CP Chứng khoán SH,Công ty CP Chứng khoán SH,-,-,-,-,-,-,,,,,,
Công ty CP EVN Quốc Tế,Công ty CP Chứng khoán SH > Công ty CP EVN Quốc Tế,Công ty CP EVN Quốc Tế,44.118.073.392,(9.903.673.392),34.214.400.000,44.118.073.392,(11.718.073.392),32.400.000.000,44118073392.0,-9903673392.0,34214400000.0,44118073392.0,-11718073392.0,32400000000.0
Quỹ con hồ Việt Nam,Công ty CP Chứng khoán SH > Quỹ con hồ Việt Nam,Quỹ con hồ Việt Nam,-,-,-,300.000.000,-,300.000.000,,,,300000000.0,,300000000.0
Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Chứng khoán SH > Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,13.877.341.956,(5.932.674.502),7.944.667.454,13.877.341.956,(5.932.674.502),7.944.667.454,13877341956.0,-5932674502.0,7944667454.0,13877341956.0,-5932674502.0,7944667454.0
Công ty CP Thủy sản An Phú,Công ty CP Thủy sản An Phú,Công ty CP Thủy sản An Phú,-,-,-,-,-,-,,,,,,
Công ty CP Điện Việt Lào,Công ty CP Thủy sản An Phú > Công ty CP Điện Việt Lào,Công ty CP Điện Việt Lào,79.567.924.335,-,79.567.924.335,79.567.924.335,-,79.567.924.335,79567924335.0,,79567924335.0,79567924335.0,,79567924335.0
Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Công ty CP Thủy sản An Phú > Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,24.418.782.000,(2.875.989.880),21.542.792.120,24.418.782.000,(2.713.198.000),21.705.584.000,24418782000.0,-2875989880.0,21542792120.0,24418782000.0,-2713198000.0,21705584000.0
Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Thủy sản An Phú > Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,1.500.000.000,(794.330.065),705.669.935,1.500.000.000,(510.000.000),990.000.000,1500000000.0,-794330065.0,705669935.0,1500000000.0,-510000000.0,990000000.0
Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP Thủy sản An Phú > Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,23.082.813.181,-,23.082.813.181,23.082.813.181,-,23.082.813.181,23082813181.0,,23082813181.0,23082813181.0,,23082813181.0
Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Thủy sản An Phú > Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,51.808.000.000,(6.823.116.210),44.984.883.790,51.808.000.000,(6.823.116.210),44.984.883.790,51808000000.0,-6823116210.0,44984883790.0,51808000000.0,-6823116210.0,44984883790.0
Công ty TNHH MTV Cà phê 715C,Công ty CP Thủy sản An Phú > Công ty TNHH MTV Cà phê 715C,Công ty TNHH MTV Cà phê 715C,-,-,-,8.252.474.776,-,8.252.474.776,,,,8252474776.0,,8252474776.0
Công ty CP Địa Ốc MB,Công ty CP Thủy sản An Phú > Công ty CP Địa Ốc MB,Công ty CP Địa Ốc MB,600.000.000,-,600.000.000,600.000.000,-,600.000.000,600000000.0,,600000000.0,600000000.0,,600000000.0
Công ty CP QL Quỹ đầu tư Sài gòn-Hà Nội,Công ty CP Thủy sản An Phú > Công ty CP QL Quỹ đầu tư Sài gòn-Hà Nội,Công ty CP QL Quỹ đầu tư Sài gòn-Hà Nội,,,-,2.128.000.000,(2.128.000.000),-,,,,2128000000.0,-2128000000.0,
Công ty CP Mía đường Thanh Hóa,Công ty CP Thủy sản An Phú > Công ty CP Mía đường Thanh Hóa,Công ty CP Mía đường Thanh Hóa,4.897.408.624,-,4.897.408.624,4.897.408.624,-,4.897.408.624,4897408624.0,,4897408624.0,4897408624.0,,4897408624.0
Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Thủy sản An Phú > Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Tuấn Lộc Quảng Trị,3.000.000.000,-,3.000.000.000,3.000.000.000,-,3.000.000.000,3000000000.0,,3000000000.0,3000000000.0,,3000000000.0
Công ty CP Chứng khoán Sài Gòn - Hà Nội,Công ty CP Thủy sản An Phú > Công ty CP Chứng khoán Sài Gòn - Hà Nội,Công ty CP Chứng khoán Sài Gòn - Hà Nội,-,-,-,18.633.929,-,18.633.929,,,,18633929.0,,18633929.0
Công ty CP CB Gỗ XK Địa ốc Cao su,Công ty CP Thủy sản An Phú > Công ty CP CB Gỗ XK Địa ốc Cao su,Công ty CP CB Gỗ XK Địa ốc Cao su,303.998.714,-,303.998.714,303.998.714,-,303.998.714,303998714.0,,303998714.0,303998714.0,,303998714.0
Công ty Cổ phần Phú Việt Tín,Công ty CP Thủy sản An Phú > Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,12.500.000.000,-,12.500.000.000,12.500.000.000,-,12.500.000.000,12500000000.0,,12500000000.0,12500000000.0,,12500000000.0
Công ty CP Đầu tư Sài Gòn VRG,Công ty CP Thủy sản An Phú > Công ty CP Đầu tư Sài Gòn VRG,Công ty CP Đầu tư Sài Gòn VRG,91.001.763.420,-,91.001.763.420,-,-,-,91001763420.0,,91001763420.0,,,
