row_label_raw,row_label_full,14. Bất động sản đầu tư,01/01/2020,Từ ngày 01/01/2020 đến ngày 31/12/2020 > Tăng,Từ ngày 01/01/2020 đến ngày 31/12/2020 > Giảm,31/12/2020,numeric__01/01/2020,numeric__Từ ngày 01/01/2020 đến ngày 31/12/2020 > Tăng,numeric__Từ ngày 01/01/2020 đến ngày 31/12/2020 > Giảm,numeric__31/12/2020
Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,1.345.307.408.338,130.873.550.114,-,1.476.180.958.452,1345307408338.0,130873550114.0,,1476180958452.0
Nguyên giá,Nguyên giá,Nguyên giá,1.824.485.029.827,232.720.451.659,-,2.057.205.481.486,1824485029827.0,232720451659.0,,2057205481486.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,242.026.264.360,,-,242.026.264.360,242026264360.0,,,242026264360.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.582.458.765.467,232.720.451.659,,1.815.179.217.126,1582458765467.0,232720451659.0,,1815179217126.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,479.177.621.489,101.846.901.545,-,581.024.523.034,479177621489.0,101846901545.0,,581024523034.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,72.532.780.363,-,,72.532.780.363,72532780363.0,,,72532780363.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,406.644.841.126,101.846.901.545,,508.491.742.671,406644841126.0,101846901545.0,,508491742671.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,1.345.307.408.338,130.873.550.114,-,1.476.180.958.452,1345307408338.0,130873550114.0,,1476180958452.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,169.493.483.997,-,-,169.493.483.997,169493483997.0,,,169493483997.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.175.813.924.341,130.873.550.114,-,1.306.687.474.455,1175813924341.0,130873550114.0,,1306687474455.0
