row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh mù cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bắt động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mù cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bắt động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,12.713.902.689.901,2.166.292.812.428,3.389.657.857.531,1.111.222.902.840,701.082.692,338.920.429.814,1.395.616.575.610,,21.116.314.350.816,12713902689901.0,2166292812428.0,3389657857531.0,1111222902840.0,701082692.0,338920429814.0,1395616575610.0,,21116314350816.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),(2.123.887.001.535),11.000.935.931,,2.446.781.292,,(4.307.789),328.453.140.306,1.781.990.451.795,,-2123887001535.0,11000935931.0,,2446781292.0,,-4307789.0,328453140306.0,1781990451795.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,10.590.015.688.366,2.177.293.748.359,3.389.657.857.531,1.113.669.684.132,701.082.692,338.916.122.025,1.724.069.715.916,1.781.990.451.795,21.116.314.350.816,10590015688366.0,2177293748359.0,3389657857531.0,1113669684132.0,701082692.0,338916122025.0,1724069715916.0,1781990451795.0,21116314350816.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khẩu hao tài sản có định,Kết quả hoạt động kinh doanh > Khẩu hao tài sản có định,Khẩu hao tài sản có định,1.092.726.802.714,76.114.011.950,160.153.306.905,11.879.064.722,3.219.998.901,47.077.860.019,10.662.549.135,,1.401.833.594.346,1092726802714.0,76114011950.0,160153306905.0,11879064722.0,3219998901.0,47077860019.0,10662549135.0,,1401833594346.0
Phân được chiaiture tử lãi/(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phân được chiaiture tử lãi/(lỗ) của công ty liên kết,Phân được chiaiture tử lãi/(lỗ) của công ty liên kết,(55.929.659.659),,283.955.626.677,91.397.245.997,,,,,319.423.213.015,-55929659659.0,,283955626677.0,91397245997.0,,,,,319423213015.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),734.692.087.797,785.673.495.809,504.148.856.088,719.735.950.796,(10.511.872.072),47.158.648.743,(216.122.161.400),136.871.137.376,2.701.646.143.137,734692087797.0,785673495809.0,504148856088.0,719735950796.0,-10511872072.0,47158648743.0,-216122161400.0,136871137376.0,2701646143137.0
Tổng tài sản (3),Kết quả hoạt động kinh doanh > Tổng tài sản (3),Tổng tài sản (3),51.325.103.937.886,1.456.841.519.856,3.574.426.948.163,7.182.377.453.305,53.500.577.240,2.630.318.246.642,3.926.220.611.440,(5.782.442.160.647),64.366.347.133.885,51325103937886.0,1456841519856.0,3574426948163.0,7182377453305.0,53500577240.0,2630318246642.0,3926220611440.0,-5782442160647.0,64366347133885.0
Tổng nợ phải trả (4),Kết quả hoạt động kinh doanh > Tổng nợ phải trả (4),Tổng nợ phải trả (4),9.081.795.249.066,488.945.399.531,718.074.821.533,9.651.661.535.750,7.330.527.321,85.392.392.271,444.822.654.968,(4.277.219.690.690),16.200.802.889.750,9081795249066.0,488945399531.0,718074821533.0,9651661535750.0,7330527321.0,85392392271.0,444822654968.0,-4277219690690.0,16200802889750.0
