row_label_raw,row_label_full,22.1. Phải trả ngắn hạn khác,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
- Tài sản thừa chờ giải quyết,- Tài sản thừa chờ giải quyết,- Tài sản thừa chờ giải quyết,1.541.093.655,1.549.617.020,1541093655.0,1549617020.0
- Kinh phí công đoàn,- Kinh phí công đoàn,- Kinh phí công đoàn,16.213.142.542,15.147.583.727,16213142542.0,15147583727.0
- Các khoản bảo hiểm bắt buộc,- Các khoản bảo hiểm bắt buộc,- Các khoản bảo hiểm bắt buộc,13.943.737.942,8.109.576.133,13943737942.0,8109576133.0
- Phải trả về cổ phần hoá,- Phải trả về cổ phần hoá,- Phải trả về cổ phần hoá,75.109.000.000,44.342.158.689,75109000000.0,44342158689.0
"- Nhận ký quỹ, ký cược ngắn hạn","- Nhận ký quỹ, ký cược ngắn hạn","- Nhận ký quỹ, ký cược ngắn hạn",198.857.538.937,213.131.169.035,198857538937.0,213131169035.0
"- Cổ tức, lợi nhuận phải trả","- Cổ tức, lợi nhuận phải trả","- Cổ tức, lợi nhuận phải trả",282.416.512.129,257.141.428.430,282416512129.0,257141428430.0
"- Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác",1.367.503.794.336,1.330.946.816.679,1367503794336.0,1330946816679.0
Cộng,Cộng,Cộng,1.955.584.819.541,1.870.368.349.713,1955584819541.0,1870368349713.0
22.2. Phải trả dài hạn khác,22.2. Phải trả dài hạn khác,22.2. Phải trả dài hạn khác,31/12/2020,01/01/2020,,
"- Nhận ký quỹ, ký cược dài hạn","22.2. Phải trả dài hạn khác > - Nhận ký quỹ, ký cược dài hạn","- Nhận ký quỹ, ký cược dài hạn",15.186.866.147,33.082.506.239,15186866147.0,33082506239.0
- Phải trả về vốn góp hợp tác kinh doanh,22.2. Phải trả dài hạn khác > - Phải trả về vốn góp hợp tác kinh doanh,- Phải trả về vốn góp hợp tác kinh doanh,-,6.000.000.000,,6000000000.0
"- Các khoản phải trả, phải nộp khác","22.2. Phải trả dài hạn khác > - Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác",243.338.747.631,108.090.666.824,243338747631.0,108090666824.0
Cộng,22.2. Phải trả dài hạn khác > Cộng,Cộng,258.525.613.778,147.173.173.063,258525613778.0,147173173063.0
