row_label_raw,row_label_full,10. Thu nhập khác,Năm 2020,Năm 2019,numeric__Năm 2020,numeric__Năm 2019
"- Thu nhập từ cây cao su thanh lý, gãy đồ","- Thu nhập từ cây cao su thanh lý, gãy đồ","- Thu nhập từ cây cao su thanh lý, gãy đồ",260.584.993.936,792.458.375.112,260584993936.0,792458375112.0
"- Thanh lý, nhượng bán TSCĐ","- Thanh lý, nhượng bán TSCĐ","- Thanh lý, nhượng bán TSCĐ",49.741.200.585,27.748.418.023,49741200585.0,27748418023.0
- Tiền bồi thường,- Tiền bồi thường,- Tiền bồi thường,971.348.968.180,882.804.262.414,971348968180.0,882804262414.0
- Tiền phạt thu được,- Tiền phạt thu được,- Tiền phạt thu được,2.081.773.575,3.117.469.891,2081773575.0,3117469891.0
- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,3.268.209.710,11.157.365.000,3268209710.0,11157365000.0
"- Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu",8.177.392.194,3.169.685.352,8177392194.0,3169685352.0
- Hoản nhập Quỹ PT khoa học công nghệ,- Hoản nhập Quỹ PT khoa học công nghệ,- Hoản nhập Quỹ PT khoa học công nghệ,2.099.364.758,-,2099364758.0,
- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,11.307.091.269,15.072.722.918,11307091269.0,15072722918.0
- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,37.730.747.690,18.384.393.914,37730747690.0,18384393914.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,123.121.168.755,169.549.068.800,123121168755.0,169549068800.0
Cộng,Cộng,Cộng,1.469.460.910.652,1.923.461.761.424,1469460910652.0,1923461761424.0
