row_label_raw,row_label_full,04. Giá vốn hàng bán,Năm 2020,Năm 2019,numeric__Năm 2020,numeric__Năm 2019
- Giá vốn sản xuất và kinh doanh mù cao su,- Giá vốn sản xuất và kinh doanh mù cao su,- Giá vốn sản xuất và kinh doanh mù cao su,10.320.541.550.501,10.296.173.570.306,10320541550501.0,10296173570306.0
- Giá vốn sản xuất và kinh doanh các sản phẩm từ cao su,- Giá vốn sản xuất và kinh doanh các sản phẩm từ cao su,- Giá vốn sản xuất và kinh doanh các sản phẩm từ cao su,1.267.237.816.657,975.141.784.120,1267237816657.0,975141784120.0
- Giá vốn chế biến gỗ,- Giá vốn chế biến gỗ,- Giá vốn chế biến gỗ,2.986.744.461.069,2.722.838.246.097,2986744461069.0,2722838246097.0
"- Giá vốn kinh doanh bất động sản, cơ sở hạ tầng","- Giá vốn kinh doanh bất động sản, cơ sở hạ tầng","- Giá vốn kinh doanh bất động sản, cơ sở hạ tầng",317.065.364.313,363.859.430.161,317065364313.0,363859430161.0
- Giá vốn dịch vụ duy tu bảo dưỡng hạ tầng KCN,- Giá vốn dịch vụ duy tu bảo dưỡng hạ tầng KCN,- Giá vốn dịch vụ duy tu bảo dưỡng hạ tầng KCN,5.179.449.355,1.769.299.492,5179449355.0,1769299492.0
"- Giá vốn dịch vụ kinh doanh điện, nước","- Giá vốn dịch vụ kinh doanh điện, nước","- Giá vốn dịch vụ kinh doanh điện, nước",28.668.331.017,19.011.488.615,28668331017.0,19011488615.0
- Giá vốn dịch vụ khách sạn,- Giá vốn dịch vụ khách sạn,- Giá vốn dịch vụ khách sạn,480.909.348,2.202.704.497,480909348.0,2202704497.0
- Giá vốn kinh doanh điện năng,- Giá vốn kinh doanh điện năng,- Giá vốn kinh doanh điện năng,255.421.696.978,263.975.781.344,255421696978.0,263975781344.0
- Giá vốn khác,- Giá vốn khác,- Giá vốn khác,1.335.779.538.374,536.035.610.448,1335779538374.0,536035610448.0
Cộng,Cộng,Cộng,16.517.119.117.612,15.181.007.915.080,16517119117612.0,15181007915080.0
