row_label_raw,row_label_full,19.1. Người mua trả tiền trước ngắn hạn,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
Người mua trả trước về mua mù cao su nội địa,Người mua trả trước về mua mù cao su nội địa,Người mua trả trước về mua mù cao su nội địa,176.023.493.704,107.949.827.732,176023493704.0,107949827732.0
Người mua trả trước về mua mù cao xu xuất khẩu,Người mua trả trước về mua mù cao xu xuất khẩu,Người mua trả trước về mua mù cao xu xuất khẩu,101.138.953.860,87.536.260.117,101138953860.0,87536260117.0
"Người mua trả trước về hoạt động gia công chế biến mù cao su, chế biến pallet","Người mua trả trước về hoạt động gia công chế biến mù cao su, chế biến pallet","Người mua trả trước về hoạt động gia công chế biến mù cao su, chế biến pallet",265.151.970,6.308.505.525,265151970.0,6308505525.0
Người mua trả trước về dịch vụ kiểm định chất lượng mù cao su,Người mua trả trước về dịch vụ kiểm định chất lượng mù cao su,Người mua trả trước về dịch vụ kiểm định chất lượng mù cao su,8.887.000,8.887.000,8887000.0,8887000.0
"Người mua trả trước về mua cây cao su thanh lý, gấy đồ","Người mua trả trước về mua cây cao su thanh lý, gấy đồ","Người mua trả trước về mua cây cao su thanh lý, gấy đồ",83.515.867.357,103.573.233.094,83515867357.0,103573233094.0
"Người mua trả trước về bán, chuyển giao và lắp đặt công trình cơ khí, máy móc thiết bị","Người mua trả trước về bán, chuyển giao và lắp đặt công trình cơ khí, máy móc thiết bị","Người mua trả trước về bán, chuyển giao và lắp đặt công trình cơ khí, máy móc thiết bị",9.585.427.470,10.970.329.000,9585427470.0,10970329000.0
Người mua trả trước về hoạt động chuyển nhượng bất động sản,Người mua trả trước về hoạt động chuyển nhượng bất động sản,Người mua trả trước về hoạt động chuyển nhượng bất động sản,-,5.859.915.718,,5859915718.0
"Người mua trả trước về thuê hạ tầng khu công nghiệp, khu dân cư","Người mua trả trước về thuê hạ tầng khu công nghiệp, khu dân cư","Người mua trả trước về thuê hạ tầng khu công nghiệp, khu dân cư",-,96.855.644,,96855644.0
"Người mua trả trước về mua bán hàng hóa, cung cấp dịch vụ khác","Người mua trả trước về mua bán hàng hóa, cung cấp dịch vụ khác","Người mua trả trước về mua bán hàng hóa, cung cấp dịch vụ khác",124.916.297.380,145.261.540.539,124916297380.0,145261540539.0
Người mua trả trước ngắn hạn khác,Người mua trả trước ngắn hạn khác,Người mua trả trước ngắn hạn khác,32.729.066.792,165.189.541.276,32729066792.0,165189541276.0
Cộng,Cộng,Cộng,528.183.145.533,632.754.895.645,528183145533.0,632754895645.0
