row_label_raw,row_label_full,06.1 Phải thu ngắn hạn khác,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,123.316.793.490,108.047.171.001,123316793490.0,108047171001.0
- Lãi dự thu,- Lãi dự thu,- Lãi dự thu,125.610.437.955,89.207.764.696,125610437955.0,89207764696.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,100.402.763.005,104.297.101.655,100402763005.0,104297101655.0
"- Cảm cố, ký quỹ, ký cược","- Cảm cố, ký quỹ, ký cược","- Cảm cố, ký quỹ, ký cược",77.486.453.953,48.540.712.626,77486453953.0,48540712626.0
- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,132.017.301.238,132.017.301.237,132017301238.0,132017301237.0
- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia,17.817.764.647,22.201.970.000,17817764647.0,22201970000.0
- Phải thu người lao động,- Phải thu người lao động,- Phải thu người lao động,52.612.744.257,79.196.630.427,52612744257.0,79196630427.0
- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,14.882.790.785,11.004.173.137,14882790785.0,11004173137.0
- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,14.030.768.751,23.232.536.518,14030768751.0,23232536518.0
- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,642.861.672.328,522.084.441.676,642861672328.0,522084441676.0
Cộng,Cộng,Cộng,1.301.039.490.409,1.139.829.802.973,1301039490409.0,1139829802973.0
