row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Mãy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Vườn câykinh doanh,Tài sảncố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Mãy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Vườn câykinh doanh,numeric__Tài sảncố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.393.469.974.780,5.918.273.151.621,1.799.259.954.126,186.900.807.715,21.441.891.861.589,94.770.484.314,40.834.566.234.145,11393469974780.0,5918273151621.0,1799259954126.0,186900807715.0,21441891861589.0,94770484314.0,40834566234145.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,22.043.093.721,77.270.112.049,32.393.696.996,3.765.112.532,-,136.000.000,135.608.015.298,22043093721.0,77270112049.0,32393696996.0,3765112532.0,,136000000.0,135608015298.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,420.607.529.684,49.212.579.079,59.000.141.314,4.053.365.407,4.518.328.518.816,3.783.709.762,5.054.985.844.062,420607529684.0,49212579079.0,59000141314.0,4053365407.0,4518328518816.0,3783709762.0,5054985844062.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,28.404.480.355,6.362.619.307,549.394.738,-,-,-,35.316.494.400,28404480355.0,6362619307.0,549394738.0,,,,35316494400.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(41.216.585.230),(6.343.738.848),(6.330.488.963),(434.055.506),(136.674.369.714),-,(190.999.238.261),-41216585230.0,-6343738848.0,-6330488963.0,-434055506.0,-136674369714.0,,-190999238261.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,-,2.062.280.211,651.439.091,556.524.100,-,-,3.270.243.402,,2062280211.0,651439091.0,556524100.0,,,3270243402.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(36.037.621.039),(9.451.761.239),(21.894.054.807),(543.559.352),(400.475.640.263),-,(468.402.636.700),-36037621039.0,-9451761239.0,-21894054807.0,-543559352.0,-400475640263.0,,-468402636700.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(16.333.636.050),(580.336.366),(11.135.741),(293.586.056),(157.332.529.235),-,(174.551.223.448),-16333636050.0,-580336366.0,-11135741.0,-293586056.0,-157332529235.0,,-174551223448.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,(317.454.215),(1.207.963.191),(1.744.825.996),-,-,-,(3.270.243.402),-317454215.0,-1207963191.0,-1744825996.0,,,,-3270243402.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,11.770.619.782.006,6.035.596.942.623,1.861.874.120.758,194.004.608.840,25.265.737.841.193,98.690.194.076,45.226.523.489.496,11770619782006.0,6035596942623.0,1861874120758.0,194004608840.0,25265737841193.0,98690194076.0,45226523489496.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.349.958.203.376,3.018.930.646.766,1.208.522.279.874,158.878.219.951,3.452.335.368.810,65.522.643.723,13.254.147.362.500,5349958203376.0,3018930646766.0,1208522279874.0,158878219951.0,3452335368810.0,65522643723.0,13254147362500.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,550.769.615.006,307.553.253.889,100.834.455.693,6.039.423.769,980.799.007.900,3.870.584.732,1.949.866.340.989,550769615006.0,307553253889.0,100834455693.0,6039423769.0,980799007900.0,3870584732.0,1949866340989.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,1.311.132.582,726.764.545,201.651.070,38.510.604,3.232.996.584,-,5.511.055.385,1311132582.0,726764545.0,201651070.0,38510604.0,3232996584.0,,5511055385.0
