row_label_raw,row_label_full,Khoản mục,"Máy móc, thiết bị",Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,,
- Thuê tài chính trong năm,Số dư đầu năm > - Thuê tài chính trong năm,- Thuê tài chính trong năm,1.251.200.000,1.251.200.000,1251200000.0,1251200000.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,1.251.200.000,1.251.200.000,1251200000.0,1251200000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,,
- Khấu hao trong năm,Số dư đầu năm > - Khấu hao trong năm,- Khấu hao trong năm,(26.066.667),(26.066.667),-26066667.0,-26066667.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,(26.066.667),(26.066.667),-26066667.0,-26066667.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
- Tại ngày đầu năm,- Tại ngày đầu năm,- Tại ngày đầu năm,-,-,,
- Tại ngày cuối năm,- Tại ngày đầu năm > - Tại ngày cuối năm,- Tại ngày cuối năm,1.225.133.333,1.225.133.333,1225133333.0,1225133333.0
