row_label_raw,row_label_full,"07. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",Năm 2020,Năm 2019,numeric__Năm 2020,numeric__Năm 2019
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,52.514.203.628,30.668.634.219,52514203628.0,30668634219.0
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,-,363.625.888,,363625888.0
Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,-,5.626.073,,5626073.0
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,(441.828.223),(501.433.838),-441828223.0,-501433838.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,10.833.654.274,26.889.896.440,10833654274.0,26889896440.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,19.914.252.809,18.826.414.608,19914252809.0,18826414608.0
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,283.929.175.648,263.613.492.434,283929175648.0,263613492434.0
Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,7.481.809.554,16.457.603.133,7481809554.0,16457603133.0
Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,-,63.347.551.474,,63347551474.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,(43.802.370.634),23.982.549,-43802370634.0,23982549.0
