row_label_raw,row_label_full,Chỉ tiêu > Thuế giá trị gia tăng nội địa,01/01/2020 > 62.454.153.003,Số phải nộp trong năm > 790.410.670.977,Số thực nộp trong năm > (772.638.636.471),31/12/2020 > 80.226.187.509,numeric__01/01/2020 > 62.454.153.003,numeric__Số phải nộp trong năm > 790.410.670.977,numeric__Số thực nộp trong năm > (772.638.636.471),numeric__31/12/2020 > 80.226.187.509
nue gia trị gia tang nhập,nue gia trị gia tang nhập,nue gia trị gia tang nhập,-,18.073.066.832,(18.073.066.832),-,,18073066832.0,-18073066832.0,
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",(417.947.740),16.011.363.080,(15.841.881.853),(248.466.513),-417947740.0,16011363080.0,-15841881853.0,-248466513.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,4.011.516.030,(4.011.516.030),-,,4011516030.0,-4011516030.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,224.720.676.760,1.086.342.651.644,(1.061.985.606.744),249.077.721.660,224720676760.0,1086342651644.0,-1061985606744.0,249077721660.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,3.743.255.809,46.781.100.470,(43.856.834.887),6.667.521.392,3743255809.0,46781100470.0,-43856834887.0,6667521392.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",(171.789.762.361),1.884.133.774.284,(1.730.966.715.039),(18.622.703.116),-171789762361.0,1884133774284.0,-1730966715039.0,-18622703116.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,2.058.973.740,9.672.112.126,(7.200.087.604),4.530.998.262,2058973740.0,9672112126.0,-7200087604.0,4530998262.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,227.546.300,(227.546.300),-,,227546300.0,-227546300.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.568.483.879,59.690.006.151,(61.440.761.937),(182.271.907),1568483879.0,59690006151.0,-61440761937.0,-182271907.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,1.723.821.898,(3.174.499.255),(12.679.117.376),(14.129.794.733),1723821898.0,-3174499255.0,-12679117376.0,-14129794733.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",(56.649.232.072),53.847.451.974,(13.257.734.781),(16.059.514.879),-56649232072.0,53847451974.0,-13257734781.0,-16059514879.0
Cộng,Cộng,Cộng,67.412.422.916,3.966.026.760.613,(3.742.179.505.854),291.259.677.675,67412422916.0,3966026760613.0,-3742179505854.0,291259677675.0
