row_label_raw,row_label_full,01. Tiền và các khoản tương đương tiền,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
- Tiền mặt,- Tiền mặt,- Tiền mặt,98.813.293.291,90.745.130.169,98813293291.0,90745130169.0
- Tiền gửi ngân hàng không kỳ hạn,- Tiền gửi ngân hàng không kỳ hạn,- Tiền gửi ngân hàng không kỳ hạn,1.976.293.645.888,1.825.425.910.966,1976293645888.0,1825425910966.0
- Các khoản tương đương tiền,- Các khoản tương đương tiền,- Các khoản tương đương tiền,3.453.176.675.651,5.198.616.910.662,3453176675651.0,5198616910662.0
Cộng,Cộng,Cộng,5.528.283.614.830,7.114.787.951.797,5528283614830.0,7114787951797.0
