row_label_raw,row_label_full,07. Tài sản thiếu chờ xử lý,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
- Tiền,- Tiền,- Tiền,6.267.911.868,6.267.911.868,6267911868.0,6267911868.0
"- Hàng tồn kho, gửi bán","- Hàng tồn kho, gửi bán","- Hàng tồn kho, gửi bán",600.805.431,971.194.967,600805431.0,971194967.0
- Tài sản cố định,- Tài sản cố định,- Tài sản cố định,42.601.652.033,240.597.450,42601652033.0,240597450.0
- Tài sản khác,- Tài sản khác,- Tài sản khác,13.769.403.481,13.144.970.417,13769403481.0,13144970417.0
Cộng,Cộng,Cộng,63.239.772.813,20.624.674.702,63239772813.0,20624674702.0
