row_label_raw,row_label_full,23. Vay và nợ thuê tài chính,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,Biên động trong năm > Tăng,Biên động trong năm > Giảm,01/01/2020 > Giá trị,01/01/2020 > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__Biên động trong năm > Tăng,numeric__Biên động trong năm > Giảm,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Số có khả năng trả nợ
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,3.772.259.625.860,3.772.259.625.860,6.700.922.369.673,5.715.734.934.019,2.787.072.190.206,2.787.072.190.206,3772259625860.0,3772259625860.0,6700922369673.0,5715734934019.0,2787072190206.0,2787072190206.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,2.121.191.936.189,2.121.191.936.189,5.506.422.656.184,4.737.636.998.282,1.352.406.278.287,1.352.406.278.287,2121191936189.0,2121191936189.0,5506422656184.0,4737636998282.0,1352406278287.0,1352406278287.0
- Các khoản đi vay,- Các khoản đi vay,- Các khoản đi vay,2.121.191.936.189,2.121.191.936.189,5.506.422.656.184,4.737.636.998.282,1.352.406.278.287,1.352.406.278.287,2121191936189.0,2121191936189.0,5506422656184.0,4737636998282.0,1352406278287.0,1352406278287.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,-,-,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
Nợ dài hạn đến hạn trả,- Trái phiếu phát hành > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,1.651.067.689.671,1.651.067.689.671,1.194.499.713.489,978.097.935.737,1.434.665.911.919,1.434.665.911.919,1651067689671.0,1651067689671.0,1194499713489.0,978097935737.0,1434665911919.0,1434665911919.0
- Các khoản đi vay,- Trái phiếu phát hành > - Các khoản đi vay,- Các khoản đi vay,1.651.067.689.671,1.651.067.689.671,1.194.499.713.489,978.097.935.737,1.434.665.911.919,1.434.665.911.919,1651067689671.0,1651067689671.0,1194499713489.0,978097935737.0,1434665911919.0,1434665911919.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,-,-,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
b. Dài hạn,- Trái phiếu phát hành > b. Dài hạn,b. Dài hạn,8.335.213.987.508,8.335.213.987.508,2.128.201.571.129,2.868.782.601.891,9.075.795.018.270,9.075.795.018.270,8335213987508.0,8335213987508.0,2128201571129.0,2868782601891.0,9075795018270.0,9075795018270.0
- Các khoản đi vay,- Trái phiếu phát hành > - Các khoản đi vay,- Các khoản đi vay,8.335.213.987.508,8.335.213.987.508,2.128.201.571.129,2.868.782.601.891,9.075.795.018.270,9.075.795.018.270,8335213987508.0,8335213987508.0,2128201571129.0,2868782601891.0,9075795018270.0,9075795018270.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,-,-,,,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
Cộng,- Trái phiếu phát hành > Cộng,Cộng,12.107.473.613.368,12.107.473.613.368,8.829.123.940.802,8.584.517.535.910,11.862.867.208.476,11.862.867.208.476,12107473613368.0,12107473613368.0,8829123940802.0,8584517535910.0,11862867208476.0,11862867208476.0
