row_label_raw,row_label_full,02. Các khoản giảm trừ doanh thu,Năm 2020,Năm 2019,numeric__Năm 2020,numeric__Năm 2019
- Chiết khấu thương mại,- Chiết khấu thương mại,- Chiết khấu thương mại,9.970.859.455,9.986.962.719,9970859455.0,9986962719.0
- Giảm giá hàng bán,- Giảm giá hàng bán,- Giảm giá hàng bán,1.466.930.971,1.095.194.305,1466930971.0,1095194305.0
- Hàng bán bị trả lại,- Hàng bán bị trả lại,- Hàng bán bị trả lại,12.656.501.901,9.494.322.271,12656501901.0,9494322271.0
Cộng,Cộng,Cộng,24.094.292.327,20.576.479.295,24094292327.0,20576479295.0
