row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,165.508.764.190,12.382.787.273,245.363.931.310,2.046.728.429,425.302.211.202,165508764190.0,12382787273.0,245363931310.0,2046728429.0,425302211202.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,2.491.370.910,65.838.636,2.557.209.546,,,2491370910.0,65838636.0,2557209546.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(1.980.953.380),-,(1.980.953.380),,,-1980953380.0,,-1980953380.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,165.508.764.190,12.382.787.273,245.874.348.840,2.112.567.065,425.878.467.368,165508764190.0,12382787273.0,245874348840.0,2112567065.0,425878467368.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,129.695.098.762,7.188.687.206,184.920.396.701,1.515.190.033,323.319.372.702,129695098762.0,7188687206.0,184920396701.0,1515190033.0,323319372702.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.177.690.548,1.409.647.647,16.670.113.796,117.678.807,28.375.130.798,10177690548.0,1409647647.0,16670113796.0,117678807.0,28375130798.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(1.980.953.380),-,(1.980.953.380),,,-1980953380.0,,-1980953380.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,139.872.789.310,8.598.334.853,199.609.557.117,1.632.868.840,349.713.550.120,139872789310.0,8598334853.0,199609557117.0,1632868840.0,349713550120.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,35.813.665.428,5.194.100.067,60.443.534.609,531.538.396,101.982.838.500,35813665428.0,5194100067.0,60443534609.0,531538396.0,101982838500.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,25.635.974.880,3.784.452.420,46.264.791.723,479.698.225,76.164.917.248,25635974880.0,3784452420.0,46264791723.0,479698225.0,76164917248.0
