row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2018VND,1/1/2018VND,,
Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,Các công ty con > Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,2.284.866.904,2.582.941.701,2284866904.0,2582941701.0
Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Các công ty con > Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Công ty TNHH Một thành viên Trung tâm Logistics Xanh,2.517.459.391,2.515.979.881,2517459391.0,2515979881.0
Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Các công ty con > Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,487.457.300,601.308.159,487457300.0,601308159.0
Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Các công ty con > Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Công ty TNHH Một thành viên Viconship Hồ Chí Minh,377.043.000,381.536.000,377043000.0,381536000.0
Công ty Cổ phần Cảng Xanh VIP,Các công ty con > Công ty Cổ phần Cảng Xanh VIP,Công ty Cổ phần Cảng Xanh VIP,634.804.775,-,634804775.0,
Công ty Cổ phần Container Miền Trung,Các công ty con > Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,96.074.001,-,96074001.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty liên kết > Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,7.203.681.503,4.606.979.560,7203681503.0,4606979560.0
Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,,
Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Người bán là các bên thứ ba > Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,3.553.238.400,-,3553238400.0,
Công ty CP CMA-CGM Việt Nam,Người bán là các bên thứ ba > Công ty CP CMA-CGM Việt Nam,Công ty CP CMA-CGM Việt Nam,2.826.320.208,-,2826320208.0,
Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Người bán là các bên thứ ba > Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,2.821.226.300,4.812.510.940,2821226300.0,4812510940.0
Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Người bán là các bên thứ ba > Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,2.052.388.250,1.271.031.300,2052388250.0,1271031300.0
Công ty Cổ phần Thương mại và Dịch vụ VOSCO,Người bán là các bên thứ ba > Công ty Cổ phần Thương mại và Dịch vụ VOSCO,Công ty Cổ phần Thương mại và Dịch vụ VOSCO,1.090.039.918,906.255.625,1090039918.0,906255625.0
Công ty Cổ phần Tiếp vận Quốc tế Song Nguyễn,Người bán là các bên thứ ba > Công ty Cổ phần Tiếp vận Quốc tế Song Nguyễn,Công ty Cổ phần Tiếp vận Quốc tế Song Nguyễn,642.491.800,499.764.350,642491800.0,499764350.0
Các nhà cung cấp khác,Người bán là các bên thứ ba > Các nhà cung cấp khác,Các nhà cung cấp khác,9.297.757.246,4.851.961.677,9297757246.0,4851961677.0
,,,35.884.848.996,23.030.269.193,35884848996.0,23030269193.0
