row_label_raw,row_label_full,Công ty con,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31/12/2025 và 31/12/2024,Tại ngày 31/12/2025 và 31/12/2024_1,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31/12/2025 và 31/12/2024,numeric__Tại ngày 31/12/2025 và 31/12/2024_1
Công ty con,Công ty con,Công ty con,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết %,,,,
Công ty TNHH Phân mềm FPT,Công ty con > Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Cung cấp các dịch vụ và sản phẩm phần mềm,"Tòa nhà FPT Cầu Giấy, Phố Duy Tân, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam",100%,100%,,,1.0,1.0
Công ty Cổ phần Viễn thông FPT (*),Công ty con > Công ty Cổ phần Viễn thông FPT (*),Công ty Cổ phần Viễn thông FPT (*),"Cung cấp các dịch vụ ADSL, cho thuê đường truyền, truyền hình trả tiền và các dịch vụ trực tuyến khác","Tầng 2, tỏa nhà FPT Cầu Giấy, số 17 phố Duy Tân, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam","45,66%",(*),,,0.45659999999999995,
Công ty TNHH FPT IS,Công ty con > Công ty TNHH FPT IS,Công ty TNHH FPT IS,"Cung cấp giải pháp phần mềm ứng dụng, dịch vụ ERP, dịch vụ công nghệ thông tin, tích hợp hệ thống","Số 10 Phố Phạm Văn Bạch, phường Cầu Giấy, Thành phố Hà Nội, Việt Nam",100%,100%,,,1.0,1.0
Công ty TNHH Giáo dục FPT,Công ty con > Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Cung cấp dịch vụ đào tạo và công nghệ,"Khu công nghệ cao Hòa Lạc, Km 29, Đại lộ Thắng Long, xã Hòa Lạc, Hà Nội, Việt Nam",100%,100%,,,1.0,1.0
Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty con > Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Cung cấp các dịch vụ trực tuyến,"Lô L 29B-31B-33B, đường Tân Thuận, Phường Tân Thuận, Thành phố Hồ Chí Minh, Việt Nam","49,52%","80,15%",,,0.49520000000000003,0.8015000000000001
Công ty TNHH Đầu tư FPT,Công ty con > Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Đầu tư tài chính,"Số 10 Phố Phạm Văn Bạch, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam",100%,100%,,,1.0,1.0
Công ty TNHH FPT Smart Cloud,Công ty con > Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công nghệ thông tin,"Số 10 Phố Phạm Văn Bạch, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam",100%,100%,,,1.0,1.0
Công ty TNHH FPT Digital,Công ty con > Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,Tư vấn chuyển đổi số,"Số 10 Phố Phạm Văn Bạch, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam",100%,100%,,,1.0,1.0
